,corpus_length,data_configuration,duration,filtered_length,nabove,nbelow,ntrange,passes,review_length,setting
"[0, 35)",359387,A1,5508.4329998493195,211224,0.5,30,"[10, 25, 40, 55, 70, 85, 100]",32,100,LDA1
"[0, 35)",359387,E1,6861.580089330673,136193,0.5,20,"[10, 25, 40, 55, 70, 85, 100]",50,150,LDA2
"[0, 35)",359387,E1,5599.859999895096,211224,0.5,30,"[10, 25, 40, 55, 70, 85, 100]",32,100,LDA1
"[0, 35)",359387,A1,6709.461062431335,136193,0.5,20,"[10, 25, 40, 55, 70, 85, 100]",50,150,LDA2
"[35, 60)",309850,A1,4733.5920078754425,174930,0.5,30,"[10, 25, 40, 55, 70, 85, 100]",32,100,LDA1
"[35, 60)",309850,E1,4701.816999912262,174930,0.5,30,"[10, 25, 40, 55, 70, 85, 100]",32,100,LDA1
"[35, 60)",309850,E1,5805.91371679306,108447,0.5,20,"[10, 25, 40, 55, 70, 85, 100]",50,150,LDA2
"[35, 60)",309850,A1,5501.168061733246,108447,0.5,20,"[10, 25, 40, 55, 70, 85, 100]",50,150,LDA2
"[60, 65)",244504,E1,3112.4779999256134,116906,0.5,30,"[10, 25, 40, 55, 70, 85, 100]",32,100,LDA1
"[60, 65)",244504,E1,3537.2696917057037,64430,0.5,20,"[10, 25, 40, 55, 70, 85, 100]",50,150,LDA2
"[60, 65)",244504,A1,3079.8730943202972,116906,0.5,30,"[10, 25, 40, 55, 70, 85, 100]",32,100,LDA1
"[60, 65)",244504,A1,3483.4163069725037,64430,0.5,20,"[10, 25, 40, 55, 70, 85, 100]",50,150,LDA2
"[65, 75)",248963,A1,4801.399091959,82988,0.5,20,"[10, 25, 40, 55, 70, 85, 100]",50,150,LDA2
"[65, 75)",248963,A1,3889.679929256439,135593,0.5,30,"[10, 25, 40, 55, 70, 85, 100]",32,100,LDA1
"[65, 75)",248963,E1,4120.536999940872,135593,0.5,30,"[10, 25, 40, 55, 70, 85, 100]",32,100,LDA1
"[65, 75)",248963,E1,4772.076159954071,82988,0.5,20,"[10, 25, 40, 55, 70, 85, 100]",50,150,LDA2
"[75, 85)",404741,E1,5347.893736124039,104720,0.5,20,"[10, 25, 40, 55, 70, 85, 100]",50,150,LDA2
"[75, 85)",404741,A1,4690.570009946823,190701,0.5,30,"[10, 25, 40, 55, 70, 85, 100]",32,100,LDA1
"[75, 85)",404741,E1,4937.871760129929,190701,0.5,30,"[10, 25, 40, 55, 70, 85, 100]",32,100,LDA1
"[75, 85)",404741,A1,5051.629112243652,104720,0.5,20,"[10, 25, 40, 55, 70, 85, 100]",50,150,LDA2
"[85, 95)",593581,A1,9240.367511987686,202187,0.5,20,"[10, 25, 40, 55, 70, 85, 100]",50,150,LDA2
"[85, 95)",593581,E1,9489.850890159607,202187,0.5,20,"[10, 25, 40, 55, 70, 85, 100]",50,150,LDA2
"[85, 95)",593581,A1,7794.226344585419,325955,0.5,30,"[10, 25, 40, 55, 70, 85, 100]",32,100,LDA1
"[85, 95)",593581,E1,8128.808799743652,325955,0.5,30,"[10, 25, 40, 55, 70, 85, 100]",32,100,LDA1
"[95, 101)",2702952,A1,9801.912999868393,146635,0.5,20,"[10, 25, 40, 55, 70, 85, 100]",50,250,LDA2
"[95, 101)",2702952,A1,12135.98247718811,428507,0.5,30,"[10, 25, 40, 55, 70, 85, 100]",32,175,LDA1
"[95, 101)",2702952,E1,12654.764349937439,428507,0.5,30,"[10, 25, 40, 55, 70, 85, 100]",32,175,LDA1
"[95, 101)",2702952,E1,9929.38593506813,146635,0.5,20,"[10, 25, 40, 55, 70, 85, 100]",50,250,LDA2
