,Original Topic Num,"Label - DC:A1, RL:100",N Reviews,% Reviews,Original Topic Num,"Label - DC:E1, RL:100",N Reviews,% Reviews,Original Topic Num,"Label - DC:E1, RL:150",N Reviews,% Reviews,Original Topic Num,"Label - DC:A1, RL:150",N Reviews,% Reviews
0,10.0,Harsh graders who gives a lot of homework assignments. Students feel that classwork is unbalanced and often comment on the teachers innability to align expectations with actual work.,16808,0.08,12.0,"Teachers who lean on the book, videos, tests and other materials to do the teaching for them.",18644,0.088,0.0,"Students blame the teacher for bad grades based on poor assignment, homework, testing or other classwork related issues.",19080.0,0.14,0.0,Students complain about not being able to understand the teacher's exaplantion or the teacher simply not providing a clear or adequate explanation.,15972,0.12
1,20.0,Students don't feel prepared for tests. Students critizise teachers' inability to prepare them for tests or missalignments between classwork and tests.,16305,0.077,6.0,"Students complaining about the workloads that teachers assign. Their grading is usually perceived as difficult either due to the size of the workload, the time allotted or the teacher's own irresponsibility.",18469,0.087,7.0,Students uniformily complain about not learning anything. Many teachers are just described as being bad at teaching in a number of ways.,18029.0,0.13,1.0,Students complaining about tests and homework. Most complaints revolve around feeling unprepared for tests and assigning to much homework.,12896,0.095
2,4.0,The feeling is that teacher's explanantions or teaching styles are confusing and that their expectations are unrealistic given that disconnect with their students.,15610,0.074,1.0,"Nice people bad teachers. Funny, charismatic in some way but just not capable of teaching.",16636,0.079,6.0,"Discuss teachers who are disrespectful. Many of them think they are being nice, or try to give that impression, but students perceive them as being sarcastic, beliitling, playing favorites, or trying to hard to play the role of a good teacher",17387.0,0.13,8.0,Teachers who are unable to explain the material to their students in a way they can understand. This often happens in math courses.,11817,0.087
3,1.0,"Teachers spend a lot of time talking but not really teaching, they talk about themselves or their opinions and are unable to engage students in the subject matter.",14353,0.068,0.0,The worst teachers who either don't know their subject matter or don't know how to teach.,16447,0.078,4.0,Poor teaching ability. Students almost uniformily complain about being confused and being able to rely on the teacher for effective explanations.,16800.0,0.12,15.0,"Parent complaints about teachers or administration. Generally talk about teachers ruining their childrens' education, being disrespectful or being unresponsive to parents.",10602,0.078
4,2.0,Students complaining about teachers that can't teach or tend to studnets' needs and need to be doing things differently or find a different profession.,14220,0.067,2.0,Teachers who don't teach and students that don't learn. Students don't mind that the class is easy but they'd prefer to have learned something.,14926,0.071,1.0,"Students complain about not learning anything in class. Usually, the teacher is easy or boring but has an innability to actually get the students to understand anything.",16511.0,0.12,7.0,"These teachers have good and bad sides. They can come off as cool to students but not great teachers, or good teachers with personality issues that get in the way of a good experience.",9817,0.072
5,3.0,Lacking in kindness. Short reviews talking about weird and mean teachers. They do things that students perceive as odd or mean and generally get on kids nerves.,13349,0.063,13.0,Teachers that disrespect students and don't provide help to students.,13544,0.064,9.0,"Wow, these are the worst. Many administrators who led the schools into decline through the tolerance of disrespect, misguided goals or unprofessionalism.",16153.0,0.12,9.0,"Reviews highlight a big disconnect between the teachers and their students, usually blamed on poor communication (guidance, clarity or respect).",9231,0.068
6,0.0,"Treats students like children or acts like a child themselves. Moody, short-termpered, intimidating and does not seem to have a personality fit for dealing with a classroom",12108,0.057,4.0,"Teachers who provide unclear explanations, criteria or material. They leave students feeling confused.",10409,0.049,8.0,"Teachers talking, students talking, teachers yelling BOO. Scary teachers, boring teachers, teachers being rude :)",15842.0,0.12,10.0,Student describe this teacher as unqualified to teach providing little explanation other than comparisons to other teachers and the opinions of other students in the class.,7878,0.058
7,12.0,"Complaints from student and many parents about teachers poor communication with students (and parents), teachers' personalities or teachers' priorities.",10654,0.05,16.0,Teachers who don't help or answer question clearly.,10201,0.048,2.0,"In general, shorter reviews that talk about art teachers, music teachers, and councelors. More than anything, complaints about ruining things, bad advice and bad guidance.",7663.0,0.056,3.0,"Desribed as the worst teachers around. Students complain that they are mean, out of touch with students needs, uknowledgeable or simply waste class time.",7773,0.057
8,9.0,"Unable to teach students because they are unclear, unorganized or unfocused.",9645,0.046,10.0,Teachers who might be smart and know their stuff but are unable to transfer that to students. Students complain about being unable to grasp the material despite the teacher's best efforts to teach it which they perceive as an innability to teach.,9515,0.045,5.0,"Not qualified to be a teacher. Mostly does not give the impression that they know what they're doing. In subject matter, they get distracted, go off topic, expand on their own ideas or just don't know what they're talking about.",6229.0,0.046,5.0,Classes where students complain about not learning anything. These are usually easy to pass but students warn that they will leave you unprepared for the next level.,7524,0.055
9,17.0,"Classes are not hard at all, if anything they're too easy and remarkably boring.",9018,0.043,19.0,Teachers with very boring classes which can be too hard or too easy. In general the students complain about not being able to follow along or learn anything. Paying attention is a challenge.,9089,0.043,3.0,"Teachers whose tests are the problem and all the lack of preparation that leads to that situation. Tests are too difficult, too much non-constructive homework and non-useful notes leading up to them.",2499.0,0.018,14.0,Teachers that play favorites or single students outs in some negative way.,7392,0.054
