
topic 0 words: ,grade, cla, give, asign, work, teacher, homework, never, al, time, test, even, project, wil, point
topic 0 coefs: ,0.059678636, 0.03848033, 0.038262233, 0.030057933, 0.027138779, 0.024020925, 0.02352681, 0.017713618, 0.015846936, 0.015816348, 0.015003382, 0.013192609, 0.012140422, 0.009727523, 0.0091742175
topic 1 words: ,cla, easi, teach, learn, teacher, bore, god, nice, reali, ap, hard, like, clase, person, wil
topic 1 coefs: ,0.11542091, 0.023673834, 0.02360941, 0.02336393, 0.022681538, 0.017340545, 0.014368519, 0.01431414, 0.013596516, 0.013432712, 0.013201522, 0.0129321385, 0.011914358, 0.010016999, 0.009937094
topic 2 words: ,schol, write, got, told, al, first, music, said, ben, art, coleg, even, time, want, stil
topic 2 coefs: ,0.01909418, 0.018707622, 0.01154261, 0.0108537385, 0.010069349, 0.0100500155, 0.009918132, 0.009768069, 0.009502346, 0.008963248, 0.008932406, 0.00847515, 0.007968596, 0.0078047803, 0.0073518157
topic 3 words: ,test, give, note, quiz, studi, read, hard, homework, al, hw, bok, fail, question, stuf, easi
topic 3 coefs: ,0.15457426, 0.05367082, 0.050476328, 0.043831225, 0.026106203, 0.020823967, 0.019647075, 0.017728887, 0.017207202, 0.017057247, 0.0169958, 0.014125284, 0.013830394, 0.011265933, 0.010356762
topic 4 words: ,help, teach, understand, student, know, explain, ask, math, question, ask_question, answer, never, cla, confus, teacher
topic 4 coefs: ,0.050013755, 0.04165873, 0.028879622, 0.028594187, 0.027772939, 0.026779251, 0.024504961, 0.019782111, 0.016069716, 0.015845526, 0.015738279, 0.015336867, 0.01517786, 0.0149923535, 0.013682711
topic 5 words: ,teach, cla, time, talk, read, al, histori, learn, know, spend, use, comput, bok, noth, lectur
topic 5 coefs: ,0.06606936, 0.0407816, 0.025156954, 0.020507023, 0.018427905, 0.01773634, 0.01634445, 0.015691595, 0.014794288, 0.013584122, 0.012777159, 0.012566082, 0.012008904, 0.009953035, 0.009491225
topic 6 words: ,like, reali, teacher, god, favorit, think, nice, student, bad, al, teach, person, peopl, mean, know
topic 6 coefs: ,0.051201187, 0.04698551, 0.044952873, 0.03424005, 0.032767672, 0.027557423, 0.0231851, 0.019199142, 0.018509176, 0.01829934, 0.015897667, 0.015861012, 0.015736947, 0.015682388, 0.015220008
topic 7 words: ,teacher, teach, worst, learn, cla, anyth, know, al, noth, never, spanish, even, horibl, cannot, english
topic 7 coefs: ,0.10114935, 0.061694294, 0.05597952, 0.046548415, 0.043563887, 0.03493029, 0.033620164, 0.028990563, 0.01938669, 0.017173273, 0.014734068, 0.0146679655, 0.012618814, 0.012074947, 0.010022594
topic 8 words: ,cla, like, talk, alway, al, hate, say, yel, kid, time, mean, peopl, never, even, wil
topic 8 coefs: ,0.03613446, 0.032572348, 0.025701003, 0.022711683, 0.01855994, 0.01705636, 0.016060058, 0.015447156, 0.013729707, 0.0132965995, 0.012763907, 0.0116094705, 0.011432703, 0.011305822, 0.008373121
topic 9 words: ,student, teacher, child, schol, parent, teach, care, ned, kid, person, rude, respect, wil, help, worst
topic 9 coefs: ,0.08481572, 0.039441966, 0.015033502, 0.013694501, 0.010012713, 0.009734465, 0.009172399, 0.008265008, 0.008019641, 0.0074761207, 0.0073290365, 0.006762842, 0.006334106, 0.005711825, 0.0057021338
