
topic 0 words: ,help, know, understand, student, never, say, ask, even, al, explain, answer, wil, anything, teach, something
topic 0 coefs: ,0.07018833, 0.035260297, 0.026245393, 0.025505837, 0.021834068, 0.021670692, 0.020829445, 0.020743612, 0.01924623, 0.018500771, 0.017201668, 0.016811337, 0.016117103, 0.016105963, 0.015916593
topic 1 words: ,test, give, on, homework, quiz, teach, al, never, clas, hard, even, note, question, teacher, work
topic 1 coefs: ,0.10800742, 0.0631518, 0.059426706, 0.049076192, 0.024843765, 0.02455076, 0.02227662, 0.020350683, 0.019893836, 0.014626313, 0.014062389, 0.013349454, 0.010419789, 0.010042787, 0.0099715
topic 2 words: ,love, play, art, music, band, hate, coach, al, on, care, want, know, sport, people, game
topic 2 coefs: ,0.049936812, 0.028613191, 0.02659725, 0.024559058, 0.019861294, 0.01869137, 0.016372588, 0.012058942, 0.010474824, 0.01043135, 0.010188525, 0.010143455, 0.010094383, 0.010066329, 0.009655213
topic 3 words: ,teacher, worst, terible, teach, never, clas, al, far, know, anything, awful, student, probably, even, life
topic 3 coefs: ,0.2126771, 0.14036779, 0.045852747, 0.027552921, 0.026351416, 0.02474638, 0.023389215, 0.02158856, 0.019551532, 0.019336363, 0.017859176, 0.0171833, 0.01624026, 0.015313494, 0.012859772
topic 4 words: ,clas, ap, english, honor, clases, colege, course, taking, tok, teacher, high_schol, freshman, level, biology, teaching
topic 4 coefs: ,0.10059277, 0.036420286, 0.035905648, 0.024382977, 0.020767495, 0.019488268, 0.017701408, 0.017456163, 0.012816534, 0.012749681, 0.01266013, 0.012644959, 0.011356273, 0.010734221, 0.010671756
topic 5 words: ,clas, learn, anything, nothing, learned, fun, teach, spanish, al, easy, teacher, thing, never, control, know
topic 5 coefs: ,0.12840593, 0.07854702, 0.067350134, 0.05912374, 0.0526867, 0.03800614, 0.034507856, 0.033141438, 0.03303473, 0.0176767, 0.0154005755, 0.015165803, 0.013655835, 0.013548842, 0.013349924
topic 6 words: ,bok, on, teach, read, note, al, history, reading, write, know, writing, clas, word, textbok, teaching
