
topic 0 words: ,teach, know, cla, teacher, learn, reali, nice, wel, explain, understand, god, anyth, math, person, help
topic 0 coefs: ,0.09450742, 0.045034092, 0.036387324, 0.034767956, 0.032232706, 0.029475907, 0.0264071, 0.023723565, 0.02159822, 0.02048003, 0.020308455, 0.018351601, 0.018242715, 0.015760062, 0.015217336
topic 1 words: ,teacher, cla, schol, worst, learn, al, spanish, god, ben, noth, english, first, never, got, time
topic 1 coefs: ,0.058226373, 0.04243985, 0.023810685, 0.01718389, 0.016632445, 0.014108004, 0.01150559, 0.011197482, 0.011157747, 0.009470429, 0.009046688, 0.00837109, 0.008233143, 0.007845789, 0.0075619505
topic 2 words: ,student, teacher, help, cla, sem, care, like, often, teach, knowledg, person, opinion, ned, wil, howev
topic 2 coefs: ,0.12040796, 0.018896522, 0.017208483, 0.012366485, 0.012294512, 0.010896058, 0.010602712, 0.008816803, 0.008812891, 0.008046964, 0.007840189, 0.00743187, 0.0074144467, 0.006618753, 0.0065618143
topic 3 words: ,like, reali, cla, teacher, mean, col, nice, god, think, al, hate, funi, bad, peopl, fun
topic 3 coefs: ,0.08462202, 0.057552706, 0.033350706, 0.03125143, 0.029241111, 0.026642771, 0.023217795, 0.021047017, 0.019876996, 0.019212605, 0.017382795, 0.016141009, 0.014624707, 0.014586092, 0.014012003
topic 4 words: ,grade, cla, asign, give, work, homework, project, hard, point, write, wil, al, paper, esay, got
topic 4 coefs: ,0.080830455, 0.04304074, 0.028037, 0.023862375, 0.023776362, 0.014811318, 0.014370143, 0.012810221, 0.012718407, 0.012176013, 0.011989889, 0.011581488, 0.011471368, 0.011445287, 0.010670056
topic 5 words: ,favorit, play, like, talk, kid, ned, stop, al, peopl, music, alway, think, band, hear, hate
topic 5 coefs: ,0.043847434, 0.03521902, 0.021627966, 0.020516928, 0.01984881, 0.01942337, 0.01758458, 0.016723169, 0.015699362, 0.012931512, 0.010469485, 0.010080197, 0.009448388, 0.0077342736, 0.007719557
topic 6 words: ,test, cla, give, note, al, teach, quiz, homework, read, studi, learn, hard, easi, bok, ap
topic 6 coefs: ,0.09012964, 0.04264129, 0.028340455, 0.026711121, 0.021787463, 0.02091696, 0.020650962, 0.020380737, 0.016758638, 0.016266787, 0.015740668, 0.013191596, 0.0128868185, 0.012524382, 0.008919388
topic 7 words: ,cla, bore, time, talk, easi, reali, hard, work, help, nice, al, fun, alway, spend, art
topic 7 coefs: ,0.13050812, 0.06394341, 0.048459083, 0.04481679, 0.032484192, 0.030406328, 0.018704886, 0.016773822, 0.0164717, 0.015955238, 0.015916657, 0.015422102, 0.011542073, 0.010682012, 0.009166547
topic 8 words: ,say, ask, help, someth, tel, alway, wil, know, ask_question, never, like, even, answer, wrong, question
topic 8 coefs: ,0.047866173, 0.036034293, 0.030389117, 0.027066909, 0.026752032, 0.02522063, 0.022690477, 0.022154173, 0.02048924, 0.020030674, 0.01890046, 0.018415624, 0.01812559, 0.017997634, 0.014705744
topic 9 words: ,teacher, god, nice, give, sometim, hard, person, work, great, reali, help, time, over, preti, ned
topic 9 coefs: ,0.091755316, 0.06519771, 0.040997434, 0.039677363, 0.037752904, 0.028330795, 0.027618296, 0.023479382, 0.02306935, 0.019543055, 0.017863262, 0.017848345, 0.016589418, 0.015625551, 0.015416135
