
topic 0 words: ,say, understand, everything, cannot, know, okay, teach, something, expects, teacher, word, al, like, even, stuf
topic 0 coefs: ,0.077822134, 0.052619074, 0.05031034, 0.047330726, 0.04038641, 0.038296226, 0.036345974, 0.034121253, 0.033279084, 0.02460313, 0.01812675, 0.017026102, 0.0156139, 0.014385792, 0.014091206
topic 1 words: ,hard, clas, easy, realy, test, nice, understand, work, prety, super, try, teacher, pay_atention, pa, teach
topic 1 coefs: ,0.14989693, 0.10468658, 0.09296526, 0.07965466, 0.04384075, 0.028548082, 0.019860266, 0.019619722, 0.018471148, 0.018178351, 0.017700933, 0.015583973, 0.014423362, 0.014073592, 0.013219923
topic 2 words: ,teacher, nice, realy, col, person, sometimes, great, funy, god, think, fun, prety, clas, best, like
topic 2 coefs: ,0.092910066, 0.06364163, 0.060259715, 0.048579935, 0.045712613, 0.045277588, 0.039772168, 0.034671545, 0.03260765, 0.02489134, 0.023839382, 0.022419108, 0.02123253, 0.019501124, 0.015839653
topic 3 words: ,help, wel, explain, ned, ask, wil, question, answer, realy, ask_question, try, helpful, answer_question, al, hel
topic 3 coefs: ,0.1628871, 0.05319682, 0.052698888, 0.044486422, 0.041795887, 0.04143244, 0.02954717, 0.02939663, 0.02898529, 0.027200596, 0.018520763, 0.016837234, 0.01609771, 0.015690008, 0.01447388
topic 4 words: ,know, teach, teaching, subject, student, wel, talking, sem, material, teacher, realy, smart, idea, sems, nice
topic 4 coefs: ,0.16043636, 0.06071547, 0.030786471, 0.03029605, 0.028580645, 0.028489867, 0.028357817, 0.024028573, 0.020601118, 0.018927481, 0.01611211, 0.015289147, 0.01502769, 0.014781709, 0.01447368
topic 5 words: ,student, teacher, care, problem, on, clas, others, helping, teaching, sems, atitude, time, certain, understanding, understand
topic 5 coefs: ,0.2430815, 0.036025655, 0.024584757, 0.015164222, 0.013181858, 0.010028544, 0.009350752, 0.008365313, 0.008359666, 0.0082559325, 0.007992424, 0.007830986, 0.007821036, 0.006306731, 0.0062497105
topic 6 words: ,god, on, teacher, wil, side, bad, luck, pick, stay, prety, go, day, thing, shel, sure
topic 6 coefs: ,0.2478089, 0.12893742, 0.09917625, 0.025822235, 0.025125157, 0.021706961, 0.015459568, 0.014724449, 0.014575864, 0.010519966, 0.010016077, 0.009898969, 0.009499675, 0.0080074975, 0.007936954
topic 7 words: ,rude, show, child, teacher, student, parent, respect, sarcastic, woman, unhelpful, met, wil, make, al, single
topic 7 coefs: ,0.04710879, 0.039676227, 0.033631478, 0.033203255, 0.027433358, 0.025770312, 0.024666283, 0.016354503, 0.016342575, 0.015167862, 0.014645547, 0.0142936865, 0.011655196, 0.010355478, 0.009602524
topic 8 words: ,clas, often, asignments, dificult, on, time, extremely, however, unclear, nice, work, confusing, person, control, clear
topic 8 coefs: ,0.057025336, 0.02576559, 0.024741437, 0.024339652, 0.023784325, 0.022099823, 0.018600727, 0.015408021, 0.014990979, 0.013333438, 0.01241773, 0.011866927, 0.011139136, 0.010965674, 0.010357958
topic 9 words: ,schol, first, got, last, ben, on, year, begining, time, thought, liked, went, stil, left, never
topic 9 coefs: ,0.07532795, 0.056820013, 0.037083287, 0.03277515, 0.031146396, 0.018964533, 0.017662387, 0.01698405, 0.014562804, 0.0136203095, 0.01339125, 0.013205441, 0.01257795, 0.012472449, 0.012364457
topic 10 words: ,grade, on, point, give, paper, like, unfair, grading, wil, opinion, bad, esays, got, fair, teacher
topic 10 coefs: ,0.17766874, 0.035550773, 0.033353366, 0.024764521, 0.023192955, 0.021483103, 0.020526525, 0.01893845, 0.018444682, 0.018212754, 0.017233828, 0.01590549, 0.01505765, 0.014839867, 0.014251145
topic 11 words: ,favorite, take, play, art, seriously, music, least, agre, run, gym, like, sport, game, obvious, pick_favorite
topic 11 coefs: ,0.14193022, 0.03682261, 0.035179064, 0.034784872, 0.033956192, 0.0322069, 0.03061227, 0.025762973, 0.022061612, 0.020689497, 0.015171391, 0.01403767, 0.014019666, 0.0123716425, 0.011631628
topic 12 words: ,science, time, computer, spent, half, biology, absent, sub, month, stuck, term, program, fre, ah, social_study
