
topic 0 words: ,like, peopl, cla, sem, fel, reali, think, nice, know, bad, al, hate, care, act, tri
topic 0 coefs: ,0.22010046, 0.06629967, 0.04903016, 0.04184242, 0.03853021, 0.03556905, 0.018292604, 0.018243622, 0.017509798, 0.016891068, 0.013817766, 0.013670647, 0.013049633, 0.012898602, 0.012816755
topic 1 words: ,give, work, homework, asign, grade, al, time, never, gave, hw, even, hard, wil, check, expect
topic 1 coefs: ,0.1385897, 0.1056074, 0.07540549, 0.04635725, 0.029013088, 0.022061937, 0.020416979, 0.020018399, 0.015703062, 0.014173404, 0.014052473, 0.011492227, 0.011438673, 0.011301838, 0.010062962
topic 2 words: ,teach, student, cla, teacher, know, materi, knowledg, subject, help, howev, understand, wel, learn, often, style
topic 2 coefs: ,0.08195919, 0.043060523, 0.026803765, 0.02595561, 0.022895344, 0.02089011, 0.018540226, 0.016110623, 0.014087506, 0.013673204, 0.013181566, 0.011702391, 0.01151708, 0.010932823, 0.010594029
topic 3 words: ,cla, got, math, honor, fail, teacher, al, clase, tok, stil, freshman, ap, hard, help, god
topic 3 coefs: ,0.11293101, 0.04895457, 0.034340374, 0.024259087, 0.024115024, 0.019901536, 0.015377193, 0.014963725, 0.013812902, 0.012957685, 0.01241249, 0.011277395, 0.011163705, 0.010410544, 0.0101358155
topic 4 words: ,teacher, worst, al, say, horibl, teach, bad, teribl, even, know, never, wil, god, far, aw
topic 4 coefs: ,0.13421807, 0.04884336, 0.031238485, 0.030130383, 0.028187128, 0.024172796, 0.02309732, 0.02237867, 0.016497765, 0.015883675, 0.01556439, 0.01461959, 0.0139194755, 0.013294306, 0.0130850645
topic 5 words: ,god, teacher, love, wil, side, cla, best, youl, luck, tough, joke, otherwis, laugh, stay, hate
topic 5 coefs: ,0.12241599, 0.06932939, 0.06525613, 0.045029033, 0.029258251, 0.02838163, 0.025966985, 0.02416841, 0.021160979, 0.017484158, 0.016823066, 0.011511058, 0.0114673795, 0.011340383, 0.010906538
topic 6 words: ,col, reali, like, funi, ok, anoy, cla, al, mean, talk, sometim, alway, think, say, stuf
topic 6 coefs: ,0.061182268, 0.048640177, 0.04256242, 0.036078498, 0.035070006, 0.03397139, 0.025781035, 0.023529, 0.02161893, 0.019805187, 0.01957271, 0.01886131, 0.01783202, 0.01610303, 0.015049746
topic 7 words: ,understand, explain, hard, help, reali, sometim, teach, confus, know, wel, nice, teacher, tri, time, god
