
topic 0 words: ,alway, make, never, cla, fun, clear, teacher, right, atitud, god, nice, mistak, hapi, sens, even
topic 0 coefs: ,0.18493365, 0.13130635, 0.04826529, 0.040964223, 0.033363726, 0.023614554, 0.019971551, 0.01992893, 0.017301258, 0.016901819, 0.0153275505, 0.0126403505, 0.012186511, 0.011688284, 0.011061879
topic 1 words: ,teacher, great, god, teach, person, best, math, explain, nice, reali, wel, understand, cla, think, over
topic 1 coefs: ,0.14026943, 0.070070386, 0.065160245, 0.06439492, 0.039225064, 0.033773467, 0.0307428, 0.027492104, 0.023311725, 0.020711621, 0.020709593, 0.01635838, 0.01627279, 0.015426167, 0.015236558
topic 2 words: ,reali, nice, sometim, mean, teacher, god, preti, like, col, time, litl, strict, think, ok, funi
topic 2 coefs: ,0.11382252, 0.08710251, 0.0723529, 0.050145872, 0.047614373, 0.033997335, 0.029703286, 0.02905528, 0.026531477, 0.024445754, 0.022441244, 0.021854043, 0.021162303, 0.019180495, 0.016404765
topic 3 words: ,hard, work, cla, reali, understand, tri, test, nice, time, give, grader, studi, extra_credit, easier, kep
topic 3 coefs: ,0.25665992, 0.14577907, 0.063851334, 0.0510523, 0.049628317, 0.039344218, 0.033614945, 0.020745985, 0.01911165, 0.017876664, 0.016169157, 0.010959383, 0.0090816645, 0.008976757, 0.006769389
topic 4 words: ,ned, tel, life, teach, stori, stop, nice, le, leson, never, think, rate, person, instead, al
topic 4 coefs: ,0.18616723, 0.07950502, 0.04668424, 0.044232503, 0.03471606, 0.024150215, 0.021351272, 0.020962829, 0.019778911, 0.016270652, 0.015232785, 0.014959754, 0.013661737, 0.012807947, 0.01259347
topic 5 words: ,learn, cla, anyth, hate, noth, reali, never, al, fun, teacher, actuali, want, teach, control, like
topic 5 coefs: ,0.13084137, 0.11759212, 0.0699798, 0.067152485, 0.027983379, 0.02658245, 0.025187202, 0.02164001, 0.017248407, 0.016871512, 0.016193394, 0.015868166, 0.015618768, 0.014211135, 0.013074978
topic 6 words: ,cla, english, ap, clase, prepar, teacher, honor, teach, coleg, high_schol, freshman, physic, cours, al, wil
topic 6 coefs: ,0.076073416, 0.037291832, 0.036355406, 0.03257438, 0.030508952, 0.027391113, 0.026653381, 0.022795537, 0.018928567, 0.018435672, 0.015973456, 0.015478069, 0.015468075, 0.015033054, 0.013296667
topic 7 words: ,love, col, funi, cla, teacher, fun, awesom, joke, preti, best, laugh, stil, hilari, time, rock
topic 7 coefs: ,0.1104698, 0.09874454, 0.09799616, 0.06344989, 0.059518185, 0.055442624, 0.048307624, 0.037176155, 0.03284299, 0.0199223, 0.019556297, 0.017606871, 0.01455975, 0.01110391, 0.010182671
topic 8 words: ,cla, easi, bore, test, reali, note, nice, preti, lectur, teach, al, pay_atent, learn, studi, super
topic 8 coefs: ,0.1319005, 0.116884224, 0.06609224, 0.03092697, 0.029246725, 0.027516525, 0.022879917, 0.020411115, 0.020089472, 0.018518364, 0.016316736, 0.012877082, 0.012854407, 0.0128274225, 0.011655064
topic 9 words: ,say, like, yel, cannot, al, lol, mean, hear, ok, run, scare, loud, pl, voic, pleas
topic 9 coefs: ,0.041037846, 0.0375489, 0.029394392, 0.02508047, 0.023281988, 0.020102287, 0.020096246, 0.018557183, 0.014783362, 0.013331682, 0.012435703, 0.011906267, 0.011670628, 0.011106009, 0.010174998
topic 10 words: ,time, cla, whole, question, al, answer, wrong, said, half, period, say, spend, minut, ask, even
topic 10 coefs: ,0.111324005, 0.05151789, 0.028453, 0.02803479, 0.02747607, 0.024904996, 0.023823593, 0.023715053, 0.017426893, 0.01706743, 0.016931532, 0.014061923, 0.013964546, 0.013218476, 0.01313763
topic 11 words: ,know, stuf, teach, spanish, expect, reali, wel, day, everyth, alreadi, languag, understand, cannot, think, explain
topic 11 coefs: ,0.3096962, 0.10798488, 0.05997709, 0.051989257, 0.038583815, 0.029328585, 0.02695665, 0.02624387, 0.01910252, 0.016344866, 0.01252866, 0.011470705, 0.010526559, 0.010361591, 0.010354488
