
topic 0 words: ,always, help, on, student, clas, ned, ask, wil, clear, something, problem, teacher, helpful, time, never
topic 0 coefs: ,0.10541651, 0.07915521, 0.050651673, 0.036806755, 0.027558284, 0.02617553, 0.024582354, 0.02259569, 0.020438487, 0.015596331, 0.014343079, 0.014235767, 0.013133022, 0.013122584, 0.012638274
topic 1 words: ,teacher, clas, best, stil, awesome, math, love, last, realy, liked, science, fun, got, favorite, hated
topic 1 coefs: ,0.08026979, 0.065579355, 0.05269323, 0.050609972, 0.034294143, 0.03190595, 0.030083252, 0.021984847, 0.0199217, 0.01972967, 0.018946141, 0.018267086, 0.018145118, 0.01730345, 0.015477014
topic 2 words: ,know, teach, wel, stuf, realy, talking, explain, nice, think, al, everything, like, cannot, teacher, teaching
topic 2 coefs: ,0.17323445, 0.10698794, 0.07293221, 0.04781912, 0.041266553, 0.038906068, 0.027630232, 0.02142825, 0.01924699, 0.017143065, 0.015112047, 0.014974888, 0.014499417, 0.014073245, 0.013778506
topic 3 words: ,god, teacher, on, prety, side, bad, overal, stay, nice, strict, wil, luck, litle, otherwise, time
topic 3 coefs: ,0.38461468, 0.15933488, 0.057894055, 0.038184922, 0.032717057, 0.020055387, 0.019989248, 0.015892806, 0.012582013, 0.011697923, 0.009923479, 0.009318185, 0.009126797, 0.0083787255, 0.007988576
topic 4 words: ,realy, hard, nice, try, understand, clas, work, person, sometimes, lady, time, teacher, mean, help, like
topic 4 coefs: ,0.1494957, 0.13952388, 0.10557774, 0.053898916, 0.039006278, 0.03416358, 0.022076065, 0.01831126, 0.018257435, 0.01757023, 0.016701749, 0.015059243, 0.013513702, 0.011750016, 0.010943162
topic 5 words: ,clas, learn, anything, spanish, youl, wil, want, actualy, teach, pay_atention, al, learned, teacher, never, realy
topic 5 coefs: ,0.118683934, 0.114067905, 0.07625835, 0.034977652, 0.029693397, 0.029412398, 0.02796892, 0.027820127, 0.024731567, 0.019111194, 0.018141933, 0.01679653, 0.015514649, 0.014281411, 0.014008168
topic 6 words: ,sometimes, funy, fun, clas, make, realy, joke, time, litle, story, nice, laugh, teacher, love, get
topic 6 coefs: ,0.13569829, 0.11849075, 0.07984341, 0.047943436, 0.04566611, 0.039993353, 0.03183081, 0.030137967, 0.026059931, 0.023897262, 0.023120949, 0.013615119, 0.013417263, 0.012643044, 0.012349311
topic 7 words: ,student, like, teacher, care, clas, sems, teaching, diferent, treat, opinion, favorite, al, however, sem, fact
topic 7 coefs: ,0.17674169, 0.044284493, 0.029290015, 0.025002647, 0.02361641, 0.01620165, 0.014066416, 0.013259346, 0.011126073, 0.010199672, 0.010144637, 0.008394006, 0.00803573, 0.007825351, 0.007641054
topic 8 words: ,show, music, french, band, respect, child, parent, ful, sound, rating, beter, son, dance, play, past
topic 8 coefs: ,0.041412756, 0.03739634, 0.030209208, 0.026649803, 0.021863416, 0.021721333, 0.0156085985, 0.012898803, 0.012492372, 0.011146154, 0.010522749, 0.010427317, 0.010081506, 0.010036217, 0.009882465
topic 9 words: ,test, on, hard, quiz, note, study, clas, give, homework, al, question, easy, wil, answer, imposible
topic 9 coefs: ,0.1849978, 0.055433854, 0.045027066, 0.03715884, 0.03532503, 0.032319166, 0.029994424, 0.028172625, 0.022041392, 0.02149854, 0.019716108, 0.017739916, 0.012154108, 0.009742895, 0.009378029
topic 10 words: ,col, like, realy, prety, teacher, think, nice, anoying, al, gym, act, sems, stuf, okay, art
topic 10 coefs: ,0.19453692, 0.11447139, 0.08283781, 0.07108502, 0.050009612, 0.026695903, 0.02435354, 0.020335793, 0.017116597, 0.014276719, 0.012918772, 0.009823594, 0.009380188, 0.0090651885, 0.008978818
topic 11 words: ,work, on, neds, time, day, give, hand, told, le, computer, break, done, home, group, al
topic 11 coefs: ,0.13470986, 0.08791971, 0.07803871, 0.03803002, 0.03057561, 0.02903118, 0.021039223, 0.020773439, 0.014906818, 0.013066066, 0.012145812, 0.01164333, 0.011323943, 0.011302055, 0.011286466
topic 12 words: ,teacher, great, person, best, worst, nice, think, love, personality, teaching, decent, horible, amazing, nicest, overal
topic 12 coefs: ,0.18014495, 0.15054005, 0.08198538, 0.029452039, 0.021443477, 0.02065464, 0.019346375, 0.01577419, 0.01542819, 0.0150839705, 0.014267639, 0.012620309, 0.011923826, 0.009773161, 0.009590579
topic 13 words: ,clas, easy, boring, nice, realy, al, prety, fun, teacher, super, lecture, time, long, control, clases
topic 13 coefs: ,0.18244676, 0.13376145, 0.10128829, 0.035624057, 0.032149743, 0.02177306, 0.021158379, 0.014941507, 0.014394885, 0.01401491, 0.013760427, 0.012545777, 0.011348947, 0.010868886, 0.010192964
topic 14 words: ,schol, ben, se, first, al, time, year, like, plus, on, late, run, never, rule, nice
topic 14 coefs: ,0.080186516, 0.03624269, 0.03543117, 0.025169052, 0.022796867, 0.018489832, 0.016545454, 0.016105417, 0.01539, 0.015317287, 0.0151380375, 0.013608227, 0.013572329, 0.012920871, 0.012852
topic 15 words: ,clas, often, dificult, teacher, however, teach, on, time, material, teaching, understand, fast, lesons, extremely, topic
topic 15 coefs: ,0.02833363, 0.024240546, 0.02286653, 0.021283602, 0.019451294, 0.01800938, 0.017838849, 0.016827874, 0.015544456, 0.0146794645, 0.014459986, 0.012481269, 0.012249037, 0.012183074, 0.012027484
topic 16 words: ,talk, like, next, period, al, shel, hear, on, sit, wil, time, loud, minute, head, say
topic 16 coefs: ,0.1112054, 0.035540167, 0.034919925, 0.025703277, 0.024145365, 0.022352224, 0.01907075, 0.016038807, 0.015467383, 0.015025881, 0.0148381945, 0.014365617, 0.0139984945, 0.013366696, 0.013358521
topic 17 words: ,remember, word, use, name, saying, stop, weird, say, wow, health, omg, year_ago, lol, bother, even
topic 17 coefs: ,0.052428275, 0.05162325, 0.04016123, 0.03867184, 0.037042465, 0.03384885, 0.031226533, 0.023584843, 0.021440007, 0.021027472, 0.018527657, 0.013462529, 0.010992982, 0.0104474705, 0.0100327665
topic 18 words: ,answer, ask_question, away, answer_question, on, short, wana, forgets, phone, conversation, kept, bc, jus, fod, strong
topic 18 coefs: ,0.035872478, 0.033442203, 0.032871082, 0.02613179, 0.021295814, 0.016847324, 0.015080094, 0.014775527, 0.013912084, 0.012324523, 0.0120848855, 0.012067736, 0.010898649, 0.010286889, 0.010268777
topic 19 words: ,clas, ap, history, on, prepared, taking, world, prepare, wel, teaching, exam, biology, clases, al, tok
topic 19 coefs: ,0.08632971, 0.05485067, 0.05087003, 0.028747184, 0.023086581, 0.022577163, 0.019508645, 0.0166218, 0.01520568, 0.013858898, 0.013707871, 0.013037516, 0.012651648, 0.011982452, 0.011682345
topic 20 words: ,people, kid, like, think, bad, fel, nice, mean, teacher, reason, al, hate, others, yel, everyone
topic 20 coefs: ,0.11765897, 0.089361265, 0.07889319, 0.04985462, 0.048163723, 0.026651645, 0.025202032, 0.019843815, 0.015482, 0.0141868275, 0.013548916, 0.013430741, 0.011463614, 0.011298163, 0.011157609
topic 21 words: ,give, grade, homework, project, asignments, point, on, work, hw, gave, many, like, time, never, al
topic 21 coefs: ,0.127346, 0.090695694, 0.07076366, 0.046657566, 0.03291071, 0.026609808, 0.025759986, 0.023198947, 0.018903114, 0.016806208, 0.016693518, 0.01567285, 0.011901388, 0.011442903, 0.011245396
topic 22 words: ,play, rom, semed, heard, never, knew, came, went, left, clas, leave, game, yeled, song, definately
topic 22 coefs: ,0.033299964, 0.029735537, 0.028013457, 0.026506023, 0.026325507, 0.02285447, 0.02216938, 0.021849984, 0.02157132, 0.019459955, 0.016995143, 0.016723407, 0.0149494475, 0.012784026, 0.012535242
topic 23 words: ,english, clas, read, reading, honor, write, esays, writing, paper, freshman, clases, grade, course, wil, hardest
topic 23 coefs: ,0.07052643, 0.06711565, 0.034936793, 0.029543566, 0.029123036, 0.025790533, 0.02399718, 0.023562865, 0.017359482, 0.016720941, 0.015558781, 0.015099564, 0.014889282, 0.014674034, 0.013967543
topic 24 words: ,ok, mean, say, like, hate, gues, al, wel, nice, time, okay, alright, teacher, cuz, think
