
topic 0 words: ,like, mean, reali, teacher, hate, nice, al, say, bad, cla, fel, kid, know, wel, think
topic 0 coefs: ,0.12585475, 0.04476729, 0.0439453, 0.033007, 0.032949425, 0.028091598, 0.0254295, 0.023148393, 0.020979023, 0.017206118, 0.01675719, 0.016498422, 0.016463166, 0.016449135, 0.015710032
topic 1 words: ,cla, reali, fun, teacher, hard, learn, nice, great, make, interest, funi, bore, person, enjoy, like
topic 1 coefs: ,0.11012679, 0.08097741, 0.07615793, 0.040631082, 0.03430517, 0.03091009, 0.02386994, 0.022520648, 0.022152605, 0.02098315, 0.020741094, 0.020146, 0.016995538, 0.016131246, 0.013874553
topic 2 words: ,sometim, reali, nice, get, anoy, litl, talk, time, funi, like, person, teacher, understand, kind, fast
topic 2 coefs: ,0.13729362, 0.073482655, 0.072297245, 0.042260557, 0.029417418, 0.023504028, 0.022318132, 0.022096194, 0.020956514, 0.01478021, 0.013209277, 0.012907092, 0.011895459, 0.011218152, 0.011004337
topic 3 words: ,student, favorit, teacher, play, cla, kid, definit, like, person, time, often, howev, favor, other, sem
topic 3 coefs: ,0.08543328, 0.07067125, 0.043424536, 0.028748503, 0.02741784, 0.018674802, 0.012775857, 0.012475309, 0.012321289, 0.009857554, 0.008819294, 0.008646825, 0.008292653, 0.007970323, 0.0076117534
topic 4 words: ,test, note, cla, quiz, studi, hard, al, give, wil, dificult, homework, teach, exam, prepar, ap
topic 4 coefs: ,0.12116836, 0.039792355, 0.039701663, 0.030155076, 0.028222565, 0.025738489, 0.020803034, 0.017061379, 0.014307321, 0.01328777, 0.01229453, 0.011895713, 0.011373254, 0.0103614535, 0.010015091
topic 5 words: ,easi, cla, reali, nice, hard, test, preti, fail, super, pa, pay_atent, al, work, got, teacher
topic 5 coefs: ,0.14834309, 0.124254815, 0.046569332, 0.036635995, 0.032171767, 0.0282526, 0.027149381, 0.022055259, 0.02195721, 0.018776251, 0.018757131, 0.016028158, 0.013830864, 0.012504422, 0.012242197
topic 6 words: ,teach, student, cla, learn, teacher, wel, person, know, style, nice, knowledg, materi, subject, ned, howev
topic 6 coefs: ,0.1867111, 0.028944142, 0.026500355, 0.021998443, 0.021987129, 0.02103812, 0.018296428, 0.017829176, 0.015047332, 0.014543113, 0.0137724625, 0.01358269, 0.013490285, 0.011347188, 0.011059896
topic 7 words: ,give, homework, work, asign, cla, project, time, hw, al, late, teacher, hard, ton, mani, turn
topic 7 coefs: ,0.124902494, 0.07936507, 0.07854087, 0.05525216, 0.031036226, 0.0287572, 0.026551496, 0.017521163, 0.015633643, 0.013715842, 0.011428744, 0.010781814, 0.010113946, 0.008945681, 0.00886706
topic 8 words: ,cla, english, read, write, bok, ap, honor, esay, clase, discus, al, teacher, freshman, work, senior
topic 8 coefs: ,0.06335505, 0.061588015, 0.05715831, 0.053483102, 0.039816383, 0.032700192, 0.032381423, 0.02217856, 0.021087682, 0.016728774, 0.016164105, 0.014188731, 0.011916891, 0.010678212, 0.010257255
topic 9 words: ,know, explain, reali, smart, stuf, confus, understand, question, ask, teach, ask_question, wel, answer, nice, everyth
topic 9 coefs: ,0.08343672, 0.059123274, 0.032295812, 0.030774847, 0.03073305, 0.029440481, 0.027591616, 0.026363878, 0.023797793, 0.023240153, 0.022425177, 0.020469904, 0.020144371, 0.019625317, 0.017191762
topic 10 words: ,learn, cla, spanish, taught, noth, last, teacher, french, speak, anyth, got, rememb, languag, algebra, first
topic 10 coefs: ,0.106543586, 0.06416224, 0.052516256, 0.034405883, 0.030760705, 0.028160593, 0.022570523, 0.021783326, 0.019931564, 0.01912373, 0.016711468, 0.014551645, 0.014208763, 0.012778382, 0.011770506
topic 11 words: ,listen, rom, cuz, pl, ned, sori, lunch, old, stop, pleas, gona, eat, ok, da, 1st
topic 11 coefs: ,0.05833308, 0.030836169, 0.027045405, 0.026744995, 0.024131149, 0.01980952, 0.019294467, 0.018269846, 0.01722929, 0.015786892, 0.014069207, 0.013577129, 0.01313718, 0.012663673, 0.01195455
topic 12 words: ,cla, time, bore, talk, whole, al, period, everi, minut, spend, half, stori, thing, like, tel
topic 12 coefs: ,0.112890534, 0.067202136, 0.060149577, 0.052534062, 0.029316965, 0.028098818, 0.016691184, 0.01572448, 0.014335276, 0.014159369, 0.012756812, 0.012405471, 0.012198289, 0.011882318, 0.010056283
topic 13 words: ,god, teacher, preti, wil, side, stay, bad, youl, cla, over, time, work, hard, luck, sure
topic 13 coefs: ,0.30942774, 0.1131039, 0.036744524, 0.032317046, 0.031571027, 0.019543499, 0.018179987, 0.016033266, 0.015489286, 0.014374891, 0.013816772, 0.012258245, 0.012078143, 0.011183532, 0.008771302
topic 14 words: ,peopl, like, yel, watch, cal, name, second, yele, loud, cla, pick, alway, game, scream, even
