
topic 0 words: ,help, wil, ned, ask, teacher, student, time, helpful, clas, nice, understand, litle, always, work, want
topic 0 coefs: ,0.09098093, 0.0443763, 0.033995137, 0.027113108, 0.023474878, 0.023390954, 0.019595472, 0.018431855, 0.017611606, 0.017082809, 0.016452013, 0.016265398, 0.016176883, 0.01246613, 0.012030124
topic 1 words: ,realy, funy, prety, teacher, clas, nice, god, col, sometimes, easy, joke, fun, make, time, like
topic 1 coefs: ,0.100658864, 0.068960726, 0.06412766, 0.049697485, 0.040905148, 0.040202327, 0.035288386, 0.030661512, 0.02644958, 0.02422965, 0.01750458, 0.017020216, 0.015719093, 0.014247007, 0.013027266
topic 2 words: ,hard, try, realy, clas, teacher, work, understand, god, nice, pay_atention, grade, easy, best, think, bad
topic 2 coefs: ,0.16792205, 0.07734003, 0.067166924, 0.060693398, 0.034495287, 0.030565446, 0.029117625, 0.026763514, 0.025246657, 0.012988682, 0.011314924, 0.010859088, 0.010759638, 0.010602752, 0.009873296
topic 3 words: ,teacher, best, great, love, favorite, math, clas, god, person, science, hate, worst, learned, al, stil
topic 3 coefs: ,0.13844404, 0.061441675, 0.051954284, 0.046822198, 0.03402896, 0.026199244, 0.024815284, 0.018007413, 0.017901689, 0.017088354, 0.016699707, 0.01622023, 0.013395935, 0.012605446, 0.010866928
topic 4 words: ,teacher, teaching, neds, god, think, student, beter, job, high_schol, great, year, realy, ben, al, new
topic 4 coefs: ,0.06552097, 0.04895998, 0.039170302, 0.038393337, 0.036358513, 0.026638005, 0.025007756, 0.017645996, 0.016010687, 0.01464906, 0.013225252, 0.012593321, 0.012477445, 0.011323038, 0.010711654
topic 5 words: ,always, like, wrong, kid, even, someone, right, lok, never, nice, yels, talk, start, say, anything
topic 5 coefs: ,0.037887342, 0.027251268, 0.026319087, 0.024240542, 0.021037513, 0.018938199, 0.018310009, 0.018114401, 0.017567791, 0.017264908, 0.014713899, 0.012838704, 0.012512421, 0.012300801, 0.012246316
topic 6 words: ,on, god, teacher, clas, side, got, grade, wil, bad, pick, went, stay, people, favorite, always
topic 6 coefs: ,0.13877666, 0.1197001, 0.040043756, 0.037295345, 0.027001517, 0.026300466, 0.02307495, 0.01902311, 0.0169323, 0.012041746, 0.01145943, 0.011175688, 0.010798115, 0.010429827, 0.010378658
topic 7 words: ,fun, clas, talk, al, teacher, time, want, learn, work, always, anything, listen, make, wil, gym
topic 7 coefs: ,0.1279016, 0.07674078, 0.043316547, 0.032038994, 0.02845649, 0.020785868, 0.02004487, 0.019983003, 0.0153238345, 0.01245703, 0.012136154, 0.012126384, 0.01207966, 0.012039789, 0.00998806
topic 8 words: ,col, like, got, al, lol, say, cuz, clas, name, first, think, time, last, ok, prety
topic 8 coefs: ,0.09548218, 0.048783317, 0.02453952, 0.022523835, 0.020702342, 0.01952989, 0.019060059, 0.017001467, 0.016676659, 0.01607849, 0.015495833, 0.0135678835, 0.013260808, 0.012645639, 0.012482962
topic 9 words: ,schol, time, never, told, gave, on, al, back, child, said, wanted, friend, always, even, parent
topic 9 coefs: ,0.047223642, 0.029380757, 0.028376607, 0.02626347, 0.02242061, 0.021033397, 0.018521752, 0.01836856, 0.017174557, 0.015883012, 0.015378712, 0.0139389355, 0.013763825, 0.013242226, 0.012535875
topic 10 words: ,test, homework, on, give, clas, note, quiz, al, easy, study, hard, hw, question, read, bok
topic 10 coefs: ,0.10708447, 0.043041546, 0.04297779, 0.038348433, 0.032916933, 0.03247052, 0.028022783, 0.022362465, 0.018057564, 0.017886108, 0.014480786, 0.013012099, 0.009518863, 0.009423335, 0.008856251
topic 11 words: ,grade, give, asignments, project, work, on, paper, esays, writing, point, grading, wil, english, write, homework
topic 11 coefs: ,0.07358962, 0.059490837, 0.033025127, 0.032143243, 0.031700626, 0.026246982, 0.020512115, 0.017723568, 0.017560503, 0.017553272, 0.015369852, 0.015203114, 0.01503213, 0.014155753, 0.011059312
topic 12 words: ,music, play, band, on, song, choir, playing, drama, played, changed, practice, show, wory, sing, orchestra
topic 12 coefs: ,0.05608736, 0.047049075, 0.04125122, 0.018235985, 0.016859217, 0.016486386, 0.01640048, 0.012596762, 0.012217796, 0.01194898, 0.011489425, 0.011456167, 0.010527453, 0.010474416, 0.010411739
topic 13 words: ,student, clas, teacher, often, on, however, teaching, time, knowledgeable, teach, subject, make, rather, extremely, knowledge
topic 13 coefs: ,0.0929374, 0.02969997, 0.025429983, 0.023605866, 0.022617524, 0.0163591, 0.012356522, 0.011814362, 0.0106895985, 0.010449552, 0.0100283725, 0.009704676, 0.0075438623, 0.007298213, 0.0071164025
topic 14 words: ,like, student, fel, sems, people, kid, act, care, treat, make, sem, hate, agre, opinion, others
topic 14 coefs: ,0.22747844, 0.059482034, 0.05174295, 0.031272367, 0.028310465, 0.0214472, 0.02115205, 0.0200769, 0.019058945, 0.017738841, 0.0148858735, 0.01365023, 0.012805428, 0.012455278, 0.01147858
topic 15 words: ,know, teach, stuf, realy, wel, talking, everything, clas, learn, on, like, explain, nice, anything, cannot
topic 15 coefs: ,0.11866279, 0.08975167, 0.045772277, 0.0362926, 0.03518757, 0.03416193, 0.022708207, 0.019676758, 0.019620355, 0.018656213, 0.017665852, 0.017616583, 0.015826747, 0.015548388, 0.015379054
topic 16 words: ,clas, dificult, teacher, wel, test, material, however, nice, person, extremely, teach, time, chemistry, exam, great
