
topic 0 words: ,clas, not, wil, learn, easy, work, want, hard, youl, pay_atention, anything, realy, teacher, long, pa
topic 0 coefs: ,0.11381288, 0.09368669, 0.06499594, 0.06086623, 0.04627473, 0.036896218, 0.028432172, 0.028237589, 0.022898177, 0.022408603, 0.018873787, 0.018629065, 0.018187486, 0.01622769, 0.0137679465
topic 1 words: ,teacher, great, best, love, not, favorite, awesome, person, amazing, funy, al, think, mi, stil, math
topic 1 coefs: ,0.19738579, 0.143437, 0.07711628, 0.05292323, 0.038870916, 0.033572566, 0.028125506, 0.023192575, 0.019158011, 0.015376839, 0.011973141, 0.01122509, 0.010529772, 0.009828907, 0.008582127
topic 2 words: ,clas, teacher, learned, got, not, english, taught, realy, loved, last, thought, science, like, first, helped
topic 2 coefs: ,0.075155504, 0.046215642, 0.04467672, 0.031214409, 0.027022185, 0.0252884, 0.02407389, 0.020455046, 0.020153448, 0.01872929, 0.018549075, 0.018229049, 0.016727535, 0.015951399, 0.014214699
topic 3 words: ,fun, clas, make, interesting, funy, realy, teacher, always, joke, easy, story, love, learning, hilarious, like
topic 3 coefs: ,0.15976995, 0.123641886, 0.08887042, 0.0419649, 0.033580154, 0.030536985, 0.024648072, 0.024383694, 0.023479313, 0.021467984, 0.0194193, 0.0146793965, 0.012784526, 0.011576326, 0.010847373
topic 4 words: ,god, teacher, on, not, prety, side, grade, hard, stay, think, work, overal, like, bad, time
topic 4 coefs: ,0.32774666, 0.14513592, 0.07267772, 0.03920904, 0.031390727, 0.028900666, 0.019515123, 0.01669719, 0.016308418, 0.015838763, 0.01539943, 0.014950331, 0.012138357, 0.010982817, 0.009655556
topic 5 words: ,on, clas, not, time, read, reading, asignments, al, grade, writing, bok, esays, paper, write, work
topic 5 coefs: ,0.060850304, 0.05422717, 0.030904848, 0.028079998, 0.014346215, 0.014309291, 0.014050269, 0.013226496, 0.012722256, 0.012472133, 0.0122637935, 0.011018401, 0.010866422, 0.009821493, 0.009112179
topic 6 words: ,tough, take, seriously, coach, old, gym, hey, serious, health, girl, time, al, pe, sport, boy
topic 6 coefs: ,0.09290375, 0.06058118, 0.04090951, 0.0313165, 0.031247212, 0.028351573, 0.025538767, 0.024800247, 0.023189148, 0.023137402, 0.021679966, 0.017126575, 0.014321768, 0.013485209, 0.0132360775
topic 7 words: ,sometimes, teacher, overal, god, litle, prety, okay, bit, nice, time, strict, confusing, easy, decent, art
topic 7 coefs: ,0.12847623, 0.08386954, 0.046852294, 0.041606065, 0.03912223, 0.037004605, 0.035399538, 0.03463145, 0.034405325, 0.027361471, 0.016645178, 0.01568636, 0.015270125, 0.01510155, 0.0148744555
topic 8 words: ,always, like, on, not, clas, time, mad, never, funy, al, got, told, nice, kid, say
topic 8 coefs: ,0.026548674, 0.025689883, 0.023956403, 0.023397924, 0.020123385, 0.019945761, 0.01959234, 0.019078683, 0.016146395, 0.014281536, 0.013016748, 0.012397915, 0.0123212505, 0.012209468, 0.011571927
topic 9 words: ,help, wil, not, ned, always, ask, on, question, try, like, helpful, answer, something, student, treat
topic 9 coefs: ,0.13356456, 0.059178345, 0.050030462, 0.041391287, 0.036425773, 0.036136877, 0.028345993, 0.018462604, 0.017997202, 0.017963393, 0.017061831, 0.015447252, 0.015229756, 0.013111863, 0.013000178
topic 10 words: ,not, like, people, think, bad, know, kid, mean, say, al, realy, clas, hate, fel, nice
topic 10 coefs: ,0.15781733, 0.09345536, 0.0519317, 0.032717, 0.03233317, 0.030859068, 0.025151728, 0.021399852, 0.02055513, 0.01997423, 0.01990406, 0.015089558, 0.013381079, 0.013335842, 0.011815469
topic 11 words: ,history, world, movie, style, interested, da, true, sory, choice, together, view, brown, life, government, pasion
