
topic 0 words: ,cla, talk, like, favorit, wil, teacher, say, know, never, time, alway, play, god, peopl, al
topic 0 coefs: ,0.061376706, 0.043791, 0.034175087, 0.03321494, 0.021872964, 0.021131238, 0.019736737, 0.019619111, 0.017649263, 0.016552743, 0.015661305, 0.014716642, 0.013724237, 0.013357462, 0.013338651
topic 1 words: ,teacher, great, best, love, person, amaz, scienc, favorit, know, music, help, al, alway, stil, band
topic 1 coefs: ,0.15489452, 0.14576419, 0.058943175, 0.03614502, 0.02907048, 0.02139471, 0.015344031, 0.013120165, 0.012720655, 0.01263855, 0.010201872, 0.010040466, 0.009541765, 0.009383067, 0.009289405
topic 2 words: ,help, ned, time, explain, alway, teacher, student, understand, sometim, confus, cla, problem, wile, leson, teach
topic 2 coefs: ,0.084957786, 0.038811218, 0.03704344, 0.029073931, 0.028888294, 0.025162475, 0.023027977, 0.021984503, 0.019979658, 0.018996425, 0.01879392, 0.015259751, 0.014145435, 0.013803004, 0.012873703
topic 3 words: ,give, homework, test, quiz, answer, like, hw, question, work, time, never, al, gave, everi, project
topic 3 coefs: ,0.16200335, 0.079492904, 0.06282143, 0.026599277, 0.026502734, 0.025083812, 0.01898854, 0.01896749, 0.017692234, 0.015440977, 0.01364781, 0.012856908, 0.012612577, 0.010052306, 0.010002498
topic 4 words: ,col, funi, joke, like, stori, tel, preti, love, laugh, alway, al, say, lol, name, time
topic 4 coefs: ,0.0644782, 0.042725954, 0.031582482, 0.027236436, 0.023222325, 0.021116713, 0.020257572, 0.018643567, 0.016622953, 0.014947715, 0.013483908, 0.013188057, 0.013074159, 0.012609083, 0.01147084
topic 5 words: ,reali, nice, sometim, like, cla, bore, funi, talk, know, hard, person, teacher, preti, col, time
topic 5 coefs: ,0.14993528, 0.07960858, 0.058693346, 0.035973243, 0.03501991, 0.026304074, 0.02529378, 0.024622157, 0.024430614, 0.023503723, 0.021386797, 0.021217896, 0.017381638, 0.017335474, 0.015581371
topic 6 words: ,kid, like, treat, act, pick, ned, teacher, al, think, student, litl, nice, love, swet, stop
topic 6 coefs: ,0.1329828, 0.074435085, 0.030278001, 0.030004207, 0.02067644, 0.01995838, 0.0192245, 0.017319296, 0.01711812, 0.015642615, 0.01524121, 0.014738638, 0.014516094, 0.012737628, 0.012407546
topic 7 words: ,easi, cla, preti, test, work, pay_atent, long, al, homework, pa, reali, teacher, youl, chil, studi
topic 7 coefs: ,0.13248983, 0.113083884, 0.03496205, 0.032941613, 0.028687866, 0.027964521, 0.026516246, 0.024067186, 0.018450515, 0.017714063, 0.0166286, 0.016503517, 0.01475729, 0.014312159, 0.013838734
topic 8 words: ,grade, asign, point, esay, work, test, paper, project, word, hard, write, turn, al, wil, even
topic 8 coefs: ,0.124162145, 0.04867789, 0.033878542, 0.021816637, 0.019140828, 0.018551508, 0.017687771, 0.015647577, 0.0151281515, 0.014948236, 0.012976083, 0.010159567, 0.010110599, 0.010051854, 0.00968143
topic 9 words: ,hard, wil, help, cla, test, tri, reali, work, understand, ask, studi, nice, teacher, wel, ned
topic 9 coefs: ,0.08808048, 0.07386508, 0.0721952, 0.0580279, 0.039185368, 0.0361456, 0.03263424, 0.028489856, 0.024760656, 0.021611094, 0.020410908, 0.01618101, 0.015626669, 0.013847712, 0.010911032
topic 10 words: ,english, cla, write, honor, freshman, hate, art, senior, love, gramar, clase, project, person, creativ, literatur
topic 10 coefs: ,0.10415001, 0.047909148, 0.04121684, 0.038449463, 0.03356268, 0.033430733, 0.030227367, 0.018809024, 0.017228337, 0.014593117, 0.013242418, 0.010016798, 0.0100001525, 0.009991081, 0.009432133
topic 11 words: ,peopl, care, student, think, teacher, reali, like, want, al, actuali, god, nice, tri, know, bad
topic 11 coefs: ,0.07260344, 0.06482041, 0.061318025, 0.06049759, 0.054833256, 0.04937296, 0.039498277, 0.031478044, 0.018334806, 0.01785575, 0.01593933, 0.015676321, 0.015252017, 0.014642781, 0.01443817
topic 12 words: ,teach, know, wel, style, learn, materi, method, stuf, teacher, subject, taught, use, everyth, cla, ned
topic 12 coefs: ,0.29567742, 0.06325179, 0.04448055, 0.028367031, 0.020554787, 0.0193434, 0.017855251, 0.016317306, 0.016266024, 0.013553621, 0.011173547, 0.011063478, 0.0103498725, 0.00964016, 0.008922905
topic 13 words: ,mean, got, like, teacher, ok, reali, first, nice, al, think, bad, gue, hate, thought, begin
topic 13 coefs: ,0.05229821, 0.043647755, 0.0436225, 0.039225228, 0.03577459, 0.03106412, 0.02830191, 0.024691941, 0.020561304, 0.019217093, 0.017449308, 0.016778305, 0.014836257, 0.01360265, 0.013366644
topic 14 words: ,life, world, histori, real, coleg, year_ago, graduat, live, inspir, spech, rememb, high_schol, schol, quick, lie
topic 14 coefs: ,0.11063526, 0.06646615, 0.05981969, 0.056926828, 0.019029621, 0.017318532, 0.01543299, 0.014178866, 0.012793424, 0.012402046, 0.0121619925, 0.011012993, 0.010655628, 0.009956331, 0.009370733
topic 15 words: ,god, teacher, preti, over, side, math, strict, like, sometim, bad, cla, nice, grade, hard, time
topic 15 coefs: ,0.24833265, 0.14430146, 0.053183157, 0.035525385, 0.030224418, 0.026734747, 0.014579178, 0.014424573, 0.014033532, 0.013703628, 0.013297127, 0.013254537, 0.012691008, 0.009983572, 0.009589021
topic 16 words: ,student, understand, mani, knowledg, comput, expect, time, often, intelig, complet, isu, howev, abl, provid, program
topic 16 coefs: ,0.13682888, 0.05412359, 0.016540522, 0.015398413, 0.013805288, 0.0136297485, 0.012277291, 0.010595236, 0.010555272, 0.010291307, 0.009949213, 0.009373638, 0.008478123, 0.008401587, 0.008292868
topic 17 words: ,fun, cla, teacher, make, awesom, interest, enjoy, love, reali, alway, learn, funi, best, hilari, clase
topic 17 coefs: ,0.16219608, 0.1241237, 0.054625902, 0.042091273, 0.0396863, 0.038548112, 0.033495683, 0.028365599, 0.028005721, 0.024504615, 0.021625992, 0.01708191, 0.013366069, 0.013060404, 0.008432192
topic 18 words: ,cla, ap, dificult, cours, student, howev, teacher, extrem, chaleng, chemistri, clase, physic, knowledg, honor, quit
topic 18 coefs: ,0.085821494, 0.031995587, 0.02553791, 0.025429726, 0.02259555, 0.020065159, 0.01830366, 0.018023264, 0.017677085, 0.017161725, 0.016875764, 0.01673979, 0.01613772, 0.012469642, 0.012078823
topic 19 words: ,coach, guy, run, girl, gym, health, favor, clasrom, pe, boy, team, sport, short, drama, athlet
topic 19 coefs: ,0.045248624, 0.043943632, 0.039868142, 0.03797945, 0.034045745, 0.032699324, 0.031771556, 0.029856892, 0.020488864, 0.020104844, 0.019997574, 0.01989837, 0.019863479, 0.018482883, 0.014316167
topic 20 words: ,learn, cla, spanish, anyth, taught, actuali, french, like, felt, want, languag, noth, youl, never, realiz
topic 20 coefs: ,0.21653607, 0.11205614, 0.05104003, 0.03957451, 0.021327108, 0.02090268, 0.020725738, 0.019092582, 0.016735613, 0.01502332, 0.0142904725, 0.012902945, 0.010262539, 0.009984774, 0.009871603
topic 21 words: ,opinion, polit, colest, mention, afraid, head, handl, hurt, break, normal, hold, dul, disagr, belief, none
topic 21 coefs: ,0.038175315, 0.020094942, 0.019925991, 0.019514032, 0.018816156, 0.018323032, 0.018085245, 0.015852816, 0.014930821, 0.012968223, 0.012024886, 0.011762963, 0.011728871, 0.011627646, 0.011223984
topic 22 words: ,cla, test, read, note, bok, lectur, al, studi, exam, textbok, time, quiz, ap, prepar, review
topic 22 coefs: ,0.05235429, 0.051330324, 0.0499323, 0.042468496, 0.03286884, 0.024958875, 0.019726824, 0.019450715, 0.015085785, 0.0138366455, 0.012941471, 0.012897404, 0.011804441, 0.010413547, 0.009685742
topic 23 words: ,student, teach, schol, believ, apreci, improv, fel, think, person, beter, child, job, teacher, like, skil
topic 23 coefs: ,0.048435986, 0.015736451, 0.01507784, 0.015070957, 0.0149233565, 0.014268979, 0.013830294, 0.013495319, 0.01198865, 0.011580455, 0.01120716, 0.011191041, 0.011158368, 0.011136699, 0.011079428
topic 24 words: ,told, left, lunch, aw, parent, pay, rom, wow, forgot, schol, film, davi, handwrit, picki, c
topic 24 coefs: ,0.07400698, 0.047782663, 0.037472885, 0.035348278, 0.026201552, 0.024348453, 0.023730977, 0.022327017, 0.01463423, 0.013125072, 0.01198224, 0.011968888, 0.011116158, 0.010857886, 0.010415488
