
topic 0 words: ,god, teacher, on, work, clas, wil, give, favorite, like, side, grade, hard, youl, time, prety
topic 0 coefs: ,0.10040042, 0.06189347, 0.058852702, 0.04846319, 0.039645165, 0.0305757, 0.023229476, 0.02053219, 0.019965565, 0.018996747, 0.017907089, 0.017129933, 0.0138771655, 0.013865852, 0.011919396
topic 1 words: ,clas, got, learned, like, honor, tok, first, taught, clases, realy, al, never, liked, thought, teacher
topic 1 coefs: ,0.118221566, 0.03213062, 0.030741785, 0.019590916, 0.018999105, 0.014728617, 0.013811391, 0.013273988, 0.012516326, 0.012409021, 0.01225395, 0.012179995, 0.012059661, 0.011747095, 0.011467263
topic 2 words: ,like, think, people, teacher, realy, know, mean, god, kid, say, bad, al, wel, sometimes, fel
topic 2 coefs: ,0.079643, 0.05574296, 0.05363431, 0.04039408, 0.03877075, 0.034466673, 0.03213142, 0.027827837, 0.024429703, 0.024332972, 0.020086406, 0.017670965, 0.014784425, 0.014243711, 0.011898162
topic 3 words: ,nice, realy, person, sometimes, teacher, funy, kind, helpful, time, hard, litle, lady, mean, strict, god
topic 3 coefs: ,0.24587633, 0.12145322, 0.06483846, 0.03031636, 0.026386742, 0.022898575, 0.022415912, 0.021160265, 0.019075325, 0.017576922, 0.016460003, 0.015620429, 0.01470188, 0.01380717, 0.010738454
topic 4 words: ,neds, teacher, music, god, job, seriously, beter, great, band, think, play, student, take, al, teaching
topic 4 coefs: ,0.05581397, 0.028695242, 0.026309092, 0.026286276, 0.025715876, 0.022703482, 0.022417802, 0.02007537, 0.018985854, 0.01884988, 0.017600082, 0.01699232, 0.014366731, 0.013813021, 0.0119478945
topic 5 words: ,teacher, bad, even, last, clas, say, god, al, got, grade, wrong, never, everyone, name, on
topic 5 coefs: ,0.026943404, 0.02213544, 0.02081543, 0.019239591, 0.016471907, 0.016229596, 0.015747964, 0.015240151, 0.014319362, 0.0139380675, 0.01363455, 0.013051198, 0.01231613, 0.011734784, 0.01121525
topic 6 words: ,on, problem, note, go, fast, example, write, use, teach, bok, board, give, like, stuf, al
topic 6 coefs: ,0.07649596, 0.07234587, 0.066054, 0.034373533, 0.02221976, 0.015597197, 0.015291165, 0.014838289, 0.014480902, 0.013521602, 0.0126878815, 0.012144716, 0.010846547, 0.010809306, 0.010406946
topic 7 words: ,teacher, love, best, great, amazing, mi, al, swet, person, always, french, student, favorite, wil, schol
topic 7 coefs: ,0.10182837, 0.07727175, 0.05865669, 0.032301947, 0.025119497, 0.022518707, 0.017960029, 0.017188847, 0.017017247, 0.015834035, 0.013884788, 0.011643539, 0.011114948, 0.010484215, 0.010455401
topic 8 words: ,homework, give, test, on, grade, clas, answer, quiz, point, al, question, easy, hw, every, time
topic 8 coefs: ,0.06000438, 0.052731592, 0.042235386, 0.040738028, 0.039280247, 0.021350922, 0.020466307, 0.018917153, 0.017398082, 0.016945655, 0.014858051, 0.013198115, 0.012258789, 0.0107215885, 0.010715134
topic 9 words: ,help, wil, ned, want, clas, student, ask, try, realy, teacher, learn, work, always, hard, best
topic 9 coefs: ,0.13084826, 0.075259954, 0.04982004, 0.042084698, 0.03938336, 0.037229385, 0.033116862, 0.027866699, 0.02475854, 0.020477725, 0.01968454, 0.017921695, 0.017445447, 0.01661468, 0.016481917
topic 10 words: ,kep, clas, student, control, working, must, atention, wil, keps, unfortunately, try, cannot, handle, hard, stop
