
topic 0 words: ,like, think, peopl, god, reali, cla, know, say, nice, bad, kid, mean, al, tri, teach
topic 0 coefs: ,0.0550798, 0.034714844, 0.032635752, 0.030673385, 0.0292959, 0.025829684, 0.022869475, 0.022066455, 0.019777749, 0.018530313, 0.01792907, 0.015075739, 0.014738147, 0.011985767, 0.0116459
topic 1 words: ,reali, love, nice, student, care, person, cla, best, great, help, amaz, know, talk, want, awesom
topic 1 coefs: ,0.06947927, 0.06447122, 0.034823164, 0.03270645, 0.032280922, 0.03130356, 0.02934099, 0.028944278, 0.02706674, 0.024329673, 0.017737744, 0.017482683, 0.014112509, 0.013887977, 0.013442802
topic 2 words: ,fun, cla, make, learn, great, interest, reali, funi, love, alway, histori, stori, teach, awesom, enjoy
topic 2 coefs: ,0.08927111, 0.08693504, 0.036922935, 0.029657314, 0.028493881, 0.027257243, 0.021859106, 0.019464297, 0.01673485, 0.01612727, 0.016098164, 0.015800454, 0.015766025, 0.015188135, 0.013981937
topic 3 words: ,got, best, like, last, stil, first, schol, thought, al, great, rememb, even, awesom, ben, alway
topic 3 coefs: ,0.019140331, 0.01908355, 0.018022638, 0.017841797, 0.0152041, 0.015142511, 0.015094385, 0.014086423, 0.014005847, 0.013164609, 0.0124913445, 0.010493331, 0.009915525, 0.009641053, 0.009205961
topic 4 words: ,help, understand, math, alway, ask, explain, teach, ned, god, time, wile, wil, sometim, great, cla
topic 4 coefs: ,0.11581742, 0.044974383, 0.036997933, 0.029713044, 0.02544662, 0.024754385, 0.022802128, 0.021936618, 0.019585015, 0.018742202, 0.01850092, 0.017817777, 0.016737796, 0.016360123, 0.01616557
topic 5 words: ,test, cla, give, homework, grade, easi, hard, work, studi, god, reali, asign, note, al, quiz
topic 5 coefs: ,0.06948243, 0.041485257, 0.037582938, 0.035670143, 0.029033408, 0.028985346, 0.025754008, 0.020300185, 0.01964044, 0.018930987, 0.017541658, 0.016099902, 0.01579479, 0.0150780445, 0.014535915
topic 6 words: ,god, preti, col, reali, nice, funi, sometim, like, side, time, over, strict, litl, cla, mad
topic 6 coefs: ,0.078874, 0.06550127, 0.053497296, 0.04369618, 0.038347136, 0.032062076, 0.031851523, 0.023856275, 0.019205645, 0.015459267, 0.015202251, 0.012510731, 0.011802904, 0.0113809025, 0.010667921
topic 7 words: ,cla, talk, time, bore, easi, al, everi, period, whole, nice, like, anyth, minut, never, learn
topic 7 coefs: ,0.08375564, 0.03893551, 0.027213197, 0.023300527, 0.016629165, 0.011751283, 0.0108879395, 0.010290109, 0.010229786, 0.010214037, 0.009714408, 0.007960055, 0.0072604376, 0.0071611963, 0.0070500122
topic 8 words: ,cla, learn, work, hard, english, ap, wil, prepar, spanish, teach, honor, clase, wel, coleg, god
topic 8 coefs: ,0.079860255, 0.031040475, 0.024448564, 0.024182897, 0.024143185, 0.022244167, 0.019847699, 0.016115712, 0.014267765, 0.013866943, 0.013421064, 0.012544398, 0.012070807, 0.011797319, 0.011090104
topic 9 words: ,student, teach, great, god, knowledg, person, howev, care, work, wel, wil, mani, know, life, schol
topic 9 coefs: ,0.063715994, 0.024671338, 0.015023156, 0.013751697, 0.0116960695, 0.01123933, 0.010710345, 0.008089389, 0.007992566, 0.0076647545, 0.0073176376, 0.007003343, 0.006836431, 0.0066567794, 0.0059798346
