
topic 0 words: ,teacher, best, math, histori, great, amaz, english, scienc, favorit, cla, teach, far, awesom, probabl, world
topic 0 coefs: ,0.18796055, 0.1228323, 0.041285727, 0.028652634, 0.026179468, 0.023457535, 0.02206311, 0.0205948, 0.019164938, 0.018544577, 0.01624378, 0.015955266, 0.013534985, 0.013486013, 0.013329719
topic 1 words: ,think, peopl, teacher, favorit, say, bad, al, know, kid, mean, student, actuali, everyon, nice, hate
topic 1 coefs: ,0.12568018, 0.088675626, 0.05417809, 0.048822172, 0.046762235, 0.03711852, 0.022982664, 0.021441177, 0.02110585, 0.016116245, 0.01564524, 0.012875231, 0.012592962, 0.012353741, 0.012142773
topic 2 words: ,god, teacher, preti, over, strict, teach, litl, sometim, time, wel, job, bad, bad_side, ned, know
topic 2 coefs: ,0.34147075, 0.18734239, 0.05869085, 0.03831719, 0.033968046, 0.02168806, 0.016792497, 0.016245931, 0.016003981, 0.011598458, 0.01086845, 0.009959333, 0.0097150635, 0.009561554, 0.009513904
topic 3 words: ,hard, tri, cla, reali, super, nice, thought, test, enjoy, teacher, funi, work, chil, understand, grader
topic 3 coefs: ,0.21287833, 0.08414439, 0.08256388, 0.08149813, 0.03683761, 0.036267187, 0.02934677, 0.02506209, 0.01993324, 0.01898875, 0.018878667, 0.018200893, 0.017103145, 0.016274404, 0.013575292
topic 4 words: ,talk, funi, tel, know, joke, stori, cla, alway, music, time, play, laugh, al, awesom, hilari
topic 4 coefs: ,0.13992512, 0.054586224, 0.05001877, 0.04734677, 0.04039629, 0.038154434, 0.028150758, 0.027425705, 0.02207295, 0.021249443, 0.019117145, 0.018211976, 0.017508633, 0.016622294, 0.015572602
topic 5 words: ,fun, cla, learn, make, teacher, reali, great, alway, interest, easi, funi, enjoy, awesom, actuali, stuf
topic 5 coefs: ,0.17645837, 0.13178794, 0.11508124, 0.09535039, 0.04983765, 0.047427613, 0.025746541, 0.018338656, 0.018036518, 0.016367344, 0.015328852, 0.014617204, 0.014198476, 0.012614412, 0.0093121985
topic 6 words: ,spanish, ben, year, taught, sinc, teach, student, learn, relat, teacher, life, knew, hope, languag, apreci
topic 6 coefs: ,0.05378838, 0.0407033, 0.032971464, 0.031273644, 0.023264877, 0.022250134, 0.021811984, 0.021269657, 0.020723995, 0.020377735, 0.018885722, 0.015141265, 0.014594755, 0.01396472, 0.01379581
topic 7 words: ,schol, serious, someon, chang, rule, rom, ned, never, kid, yele, alway, pick, leav, time, away
topic 7 coefs: ,0.047435217, 0.021545658, 0.019518416, 0.017505163, 0.0155194765, 0.014847645, 0.0145617, 0.014240089, 0.013921848, 0.01322937, 0.013225627, 0.0128313275, 0.011730335, 0.010778329, 0.010513865
topic 8 words: ,great, teacher, work, give, done, al, ned, person, art, wil, physic, know, chanc, time, awesom
topic 8 coefs: ,0.19553319, 0.12857261, 0.11990145, 0.079214714, 0.023090906, 0.018713253, 0.018501388, 0.018348543, 0.016865388, 0.015448131, 0.0131881675, 0.012945364, 0.011867969, 0.011143305, 0.0107342135
topic 9 words: ,cla, interest, howev, teach, bit, teacher, extrem, knowledg, bore, subject, student, quit, sometim, person, often
topic 9 coefs: ,0.05035745, 0.037349008, 0.030946529, 0.026564928, 0.025555892, 0.024877265, 0.023916801, 0.02113587, 0.019964268, 0.018720252, 0.017847622, 0.017508741, 0.01643026, 0.015512515, 0.015458463
topic 10 words: ,reali, nice, sometim, mean, funi, litl, get, time, anoy, know, person, bore, teacher, strict, wel
topic 10 coefs: ,0.19658528, 0.16837631, 0.07124906, 0.04090645, 0.033017818, 0.02803494, 0.021700537, 0.020573117, 0.018587282, 0.01783562, 0.016464472, 0.015656956, 0.014477862, 0.012778472, 0.011828937
topic 11 words: ,got, cuz, guy, stop, acent, wow, gona, gue, last, kept, complaint, gone, switch, 7th_grade, lit
topic 11 coefs: ,0.18785398, 0.041226238, 0.031267326, 0.0247078, 0.017582286, 0.0174171, 0.01738858, 0.01603354, 0.012838258, 0.011726421, 0.011148496, 0.010430493, 0.009822245, 0.009353555, 0.009136954
topic 12 words: ,love, mi, awesom, cla, wish, rememb, stil, hate, told, omg, gota, year_ago, even, totali, danc
topic 12 coefs: ,0.32807204, 0.06354642, 0.061922215, 0.035663556, 0.03551397, 0.024885645, 0.0227043, 0.016502373, 0.014475706, 0.013554906, 0.012799737, 0.0121513195, 0.010682684, 0.010389179, 0.009818139
topic 13 words: ,cla, easi, long, pay_atent, wil, work, pa, preti, youl, time, bore, nice, fine, al, period
topic 13 coefs: ,0.16746232, 0.13467868, 0.047223702, 0.045351125, 0.039622005, 0.038213838, 0.02527045, 0.025187584, 0.02440907, 0.021423623, 0.021086855, 0.019502122, 0.016855737, 0.016024917, 0.013782394
topic 14 words: ,test, give, homework, note, studi, quiz, easi, al, hw, cla, question, grade, hard, asign, lot
topic 14 coefs: ,0.109320894, 0.06827988, 0.06544606, 0.040487505, 0.03363268, 0.027750067, 0.024293005, 0.02003583, 0.019581787, 0.015779866, 0.013654304, 0.012788571, 0.011562558, 0.011077774, 0.010450039
topic 15 words: ,cla, ap, learn, prepar, dificult, wil, chaleng, wel, coleg, work, expect, clase, tough, cours, teach
topic 15 coefs: ,0.0872643, 0.03780593, 0.03444889, 0.03386622, 0.026507126, 0.025436804, 0.024928233, 0.022936594, 0.022103155, 0.021448718, 0.02033565, 0.01747687, 0.017371057, 0.017228333, 0.01612223
topic 16 words: ,side, god, sens_humor, stay, either, wil, mod, polit, set, way, youl, debat, handl, depend, view
topic 16 coefs: ,0.09346453, 0.09323036, 0.056896545, 0.046510305, 0.019573988, 0.017981587, 0.01770797, 0.01544702, 0.013527568, 0.0127003, 0.010576809, 0.010207326, 0.009895611, 0.009859512, 0.009623644
topic 17 words: ,help, understand, alway, ask, ned, explain, wile, wil, student, teacher, time, clear, nice, tri, reali
topic 17 coefs: ,0.2393429, 0.0685107, 0.05161394, 0.03515433, 0.033828657, 0.029151212, 0.027062083, 0.02578587, 0.019357113, 0.01874188, 0.018574823, 0.014905979, 0.014804143, 0.014127209, 0.013086239
topic 18 words: ,student, care, teach, teacher, reali, person, want, great, know, respect, wonder, style, wil, show, learn
topic 18 coefs: ,0.1429809, 0.077787645, 0.04966207, 0.04710794, 0.037440095, 0.028571472, 0.02502727, 0.023173219, 0.022463944, 0.01905302, 0.017501047, 0.01727628, 0.013003008, 0.012746132, 0.0127382465
topic 19 words: ,col, preti, lol, teacher, coach, funi, mad, awsom, rock, stil, awesom, dude, kol, even, da
topic 19 coefs: ,0.32529983, 0.047919042, 0.035788614, 0.035412725, 0.025897661, 0.023041608, 0.022034561, 0.01848514, 0.016125474, 0.015867835, 0.015490392, 0.013011309, 0.009700012, 0.008620091, 0.0083404165
topic 20 words: ,like, fel, cla, hate, sem, act, treat, kid, reali, stupid, first, lok, bad, alway, begin
topic 20 coefs: ,0.4385998, 0.03683089, 0.034761295, 0.03340211, 0.026960686, 0.019453615, 0.016686458, 0.014048808, 0.013410084, 0.012263202, 0.011945525, 0.010501371, 0.009293013, 0.009245125, 0.0091887545
topic 21 words: ,honor, word, chemistri, chem, cla, smile, easiest, walk, drama, spech, sori, cri, taken, clase, fod
topic 21 coefs: ,0.04773239, 0.044667076, 0.040021505, 0.026455993, 0.024782376, 0.023783078, 0.019428384, 0.019339256, 0.014102953, 0.014075971, 0.013994802, 0.013803743, 0.013431639, 0.013274741, 0.012494515
topic 22 words: ,hey, comput, strang, us, program, use, encourag, ful, memor, self, draw, certainli, short, figur, prep
topic 22 coefs: ,0.040362295, 0.029053891, 0.022325624, 0.020608196, 0.017638208, 0.016103249, 0.015819618, 0.014978091, 0.014430761, 0.012164611, 0.011720711, 0.011526438, 0.011397263, 0.010816679, 0.009756504
topic 23 words: ,read, time, back, asign, bok, project, gave, al, everi, turn, cal, late, end, wek, point
topic 23 coefs: ,0.032958653, 0.029863814, 0.029794866, 0.029165607, 0.028986586, 0.028137198, 0.023167355, 0.01897512, 0.018470636, 0.017043501, 0.016215272, 0.0160167, 0.015811853, 0.015618885, 0.015564358
topic 24 words: ,grade, write, cla, esay, english, watch, gym, particip, improv, health, paper, movi, discus, outsid, bad
topic 24 coefs: ,0.16336784, 0.061459094, 0.050185557, 0.037443016, 0.026380789, 0.025479132, 0.021059018, 0.017232427, 0.016350118, 0.016224856, 0.015205645, 0.014019218, 0.0123525765, 0.012056026, 0.011756005
