
topic 0 words: ,fun, clas, make, teacher, interesting, realy, great, easy, history, always, learning, boring, god, learn, like
topic 0 coefs: ,0.16263056, 0.12641026, 0.07206108, 0.05717197, 0.038972706, 0.03736722, 0.032070413, 0.022422785, 0.022145543, 0.021282963, 0.018439336, 0.014999342, 0.013689346, 0.012583932, 0.0124866795
topic 1 words: ,funy, awesome, teacher, joke, realy, love, story, clas, great, hilarious, laugh, col, always, tels, nicest
topic 1 coefs: ,0.1677423, 0.11735969, 0.07417561, 0.036508553, 0.03648575, 0.030305237, 0.027410652, 0.026312504, 0.025605798, 0.023617206, 0.018880092, 0.016927283, 0.015449141, 0.015050379, 0.014595875
topic 2 words: ,know, teach, wel, not, stuf, teacher, realy, god, talking, great, everything, subject, learn, actualy, think
topic 2 coefs: ,0.1892701, 0.12874098, 0.1101814, 0.066153705, 0.05532898, 0.050417565, 0.038675074, 0.038378138, 0.037260227, 0.017016368, 0.016416049, 0.011289176, 0.00982724, 0.009651211, 0.008898925
topic 3 words: ,on, god, side, art, stay, hand, go, pick, day, work, top, put, computer, working, board
topic 3 coefs: ,0.31615734, 0.07887659, 0.044748444, 0.02088798, 0.019924559, 0.019845318, 0.015195987, 0.015080343, 0.01323518, 0.009057015, 0.0080673, 0.007681147, 0.0069980496, 0.006694076, 0.006572214
topic 4 words: ,nice, realy, teacher, god, person, strict, litle, helpful, great, sometimes, overal, clas, time, bit, not
topic 4 coefs: ,0.14246066, 0.09082504, 0.08938205, 0.058825687, 0.056860022, 0.036568202, 0.0308181, 0.030058054, 0.029745981, 0.025895113, 0.024715398, 0.020497471, 0.018172745, 0.017128473, 0.015848374
topic 5 words: ,teacher, best, favorite, math, great, not, ben, god, high_schol, far, al, schol, year, helped, think
topic 5 coefs: ,0.18068926, 0.08880923, 0.059777606, 0.05334999, 0.0457171, 0.032210693, 0.022432217, 0.020877782, 0.019439323, 0.018779486, 0.018479304, 0.018094048, 0.017865041, 0.014540177, 0.0138755925
topic 6 words: ,clas, learned, realy, got, liked, first, thought, taught, never, enjoyed, time, actualy, tok, gave, hated
topic 6 coefs: ,0.1068518, 0.08246639, 0.045154214, 0.04222794, 0.0422167, 0.03409652, 0.03294999, 0.024576044, 0.021133456, 0.021068966, 0.01793034, 0.017497811, 0.016506573, 0.016265292, 0.016196499
topic 7 words: ,teacher, english, every, friend, like, next, clas, se, hope, awsome, name, god, not, great, late
topic 7 coefs: ,0.059658498, 0.058808085, 0.047034156, 0.03805202, 0.028101139, 0.024657797, 0.023426306, 0.020847894, 0.019844797, 0.018313872, 0.01681383, 0.016481336, 0.015814073, 0.0144891, 0.014139861
topic 8 words: ,clas, not, learn, work, hard, clases, youl, teacher, easy, pay_atention, honor, want, actualy, definitely, great
