
topic 0 words: ,realy, nice, clas, fun, sometimes, not, easy, like, funy, boring, col, hard, make, talk, super
topic 0 coefs: ,0.15241334, 0.08092014, 0.0714368, 0.046520878, 0.03766924, 0.031472605, 0.02786637, 0.025847714, 0.025809705, 0.019728392, 0.018058758, 0.017818961, 0.017446082, 0.017415049, 0.014951065
topic 1 words: ,clas, learned, great, taught, not, realy, student, ben, year, al, helped, high_schol, colege, freshman, english
topic 1 coefs: ,0.05890366, 0.03519869, 0.02843853, 0.02366857, 0.022606587, 0.019715289, 0.018270707, 0.017474763, 0.01579268, 0.015658373, 0.015394378, 0.015099119, 0.0144114485, 0.013315309, 0.011320864
topic 2 words: ,understand, not, student, help, always, helpful, wel, teach, sometimes, time, great, god, clear, material, teaching
topic 2 coefs: ,0.047353134, 0.044524197, 0.035798833, 0.027936677, 0.02212885, 0.020615399, 0.018945882, 0.018474158, 0.018023161, 0.017691307, 0.017236365, 0.0154970605, 0.015309588, 0.01481142, 0.014699001
topic 3 words: ,like, not, student, kid, care, god, great, know, music, al, think, realy, sems, respect, art
topic 3 coefs: ,0.095403254, 0.07450643, 0.0695619, 0.044412557, 0.0265751, 0.019361299, 0.018482158, 0.017913982, 0.0147937825, 0.014351272, 0.01401768, 0.012370542, 0.0123211425, 0.0121942945, 0.012036142
topic 4 words: ,test, clas, not, easy, hard, on, note, study, quiz, homework, al, pay_atention, god, prety, give
topic 4 coefs: ,0.10640792, 0.06344685, 0.048506774, 0.04326009, 0.033252563, 0.030650323, 0.028864121, 0.026893305, 0.022096802, 0.018274039, 0.017979383, 0.015907153, 0.015236892, 0.013725941, 0.0135696195
topic 5 words: ,first, on, job, schol, got, al, god, beter, coach, teaching, begining, done, not, great, guy
topic 5 coefs: ,0.06946177, 0.03328856, 0.02618328, 0.025455806, 0.01838311, 0.016710237, 0.016254717, 0.015190385, 0.01511275, 0.015069818, 0.01495943, 0.014862467, 0.0139824115, 0.013009047, 0.012849146
topic 6 words: ,work, help, clas, student, wil, hard, not, want, try, ned, give, learn, great, realy, care
topic 6 coefs: ,0.083891734, 0.07050121, 0.044544414, 0.043139964, 0.041793957, 0.040695507, 0.03768948, 0.026588527, 0.02140396, 0.021239651, 0.017201992, 0.017035339, 0.016533732, 0.013676993, 0.012441055
topic 7 words: ,col, not, like, prety, ok, clas, al, lol, god, stil, time, think, cuz, gues, got
topic 7 coefs: ,0.11863729, 0.057767894, 0.04512042, 0.03122141, 0.026265265, 0.024950879, 0.022509769, 0.01853113, 0.01747714, 0.01715359, 0.015970677, 0.013897535, 0.013355866, 0.01333908, 0.01323123
topic 8 words: ,clas, interesting, history, fun, great, make, student, subject, not, clases, teach, world, however, learning, teaching
