
topic 0 words: ,favorit, stil, cla, taught, best, last, al, far, wish, thank, rememb, even, time, got, learn
topic 0 coefs: ,0.10491454, 0.06800235, 0.043263502, 0.042814896, 0.040340424, 0.03519851, 0.031182012, 0.031136105, 0.028581768, 0.025726713, 0.021677773, 0.01829361, 0.018244943, 0.017816886, 0.01773678
topic 1 words: ,reali, nice, col, like, god, know, funi, stuf, talk, preti, think, cla, hard, awesom, mean
topic 1 coefs: ,0.21831423, 0.101541065, 0.07847363, 0.06523887, 0.04527561, 0.039822996, 0.033109006, 0.029760612, 0.027203588, 0.026150987, 0.021347826, 0.02038421, 0.018365555, 0.013057542, 0.009901045
topic 2 words: ,person, great, amaz, best, schol, know, wil, wonder, around, al, met, life, nicest, hope, lucki
topic 2 coefs: ,0.080883265, 0.074243754, 0.04908663, 0.048236005, 0.031856444, 0.02684533, 0.025065903, 0.022231009, 0.02197285, 0.021496298, 0.01869858, 0.018078405, 0.01622778, 0.016198121, 0.016195318
topic 3 words: ,god, tel, funi, stori, like, awesom, joke, side, great, sens_humor, preti, hilari, wil, stay, cla
topic 3 coefs: ,0.15491408, 0.048942152, 0.0479286, 0.04169813, 0.032336917, 0.031723082, 0.02728158, 0.02676027, 0.026228752, 0.019788086, 0.018581914, 0.015275066, 0.015007639, 0.014254912, 0.014056919
topic 4 words: ,like, peopl, say, bad, think, cla, kid, al, know, mean, hate, god, respect, cannot, wil
topic 4 coefs: ,0.06696278, 0.062560886, 0.04989145, 0.031640537, 0.030070072, 0.021629883, 0.021473425, 0.019590316, 0.017416848, 0.017030207, 0.016616646, 0.01633454, 0.016186792, 0.013261609, 0.011572573
topic 5 words: ,understand, everyth, explain, help, math, wel, real, materi, chemistri, great, clear, excel, best, know, clearli
topic 5 coefs: ,0.18081322, 0.07858661, 0.07469438, 0.06265918, 0.036388375, 0.028615972, 0.02843461, 0.025604445, 0.02361055, 0.023136934, 0.022956092, 0.02104867, 0.018943207, 0.01824079, 0.015408946
topic 6 words: ,cla, work, hard, wil, learn, ap, prepar, wel, great, youl, tough, expect, chaleng, dificult, best
topic 6 coefs: ,0.10369761, 0.095983304, 0.0779244, 0.052404445, 0.038682453, 0.029919166, 0.023819456, 0.020845925, 0.020731287, 0.020505158, 0.018175298, 0.017789872, 0.017643362, 0.015733168, 0.013999501
