
topic 0 words: ,love, best, math, favorite, science, far, funy, probably, clas, nicest, teach, schol, great, helpful, hilarious
topic 0 coefs: ,0.17503196, 0.15896997, 0.070046976, 0.04741997, 0.041471977, 0.031111004, 0.025316933, 0.020249417, 0.018878318, 0.017109027, 0.016447166, 0.014868589, 0.014349696, 0.014263008, 0.013236571
topic 1 words: ,student, care, want, realy, great, best, al, everyone, wel, try, know, suced, learn, like, always
topic 1 coefs: ,0.20833735, 0.06567569, 0.0629213, 0.045054443, 0.025767269, 0.023969926, 0.02078738, 0.02000875, 0.01807979, 0.015888685, 0.0144437095, 0.0143212415, 0.01395149, 0.013253797, 0.012357205
topic 2 words: ,taught, helped, loved, clas, best, stil, mi, wish, great, year, not, al, ben, high_schol, remember
topic 2 coefs: ,0.035589397, 0.03378076, 0.032809258, 0.031461332, 0.030690247, 0.028443232, 0.027928744, 0.02295034, 0.022738393, 0.022321193, 0.02147598, 0.019242737, 0.018919975, 0.018124325, 0.016709035
topic 3 words: ,col, prety, super, clas, funy, easy, talk, nice, fun, realy, like, chil, stuf, not, god
topic 3 coefs: ,0.15026261, 0.07083844, 0.055063833, 0.04794982, 0.047830638, 0.043886095, 0.04255939, 0.035890397, 0.035642255, 0.03352434, 0.03300122, 0.024976669, 0.02067323, 0.017852882, 0.017359963
topic 4 words: ,not, like, people, think, say, god, bad, clas, know, mean, kid, al, nice, great, even
topic 4 coefs: ,0.1636348, 0.07012878, 0.044646896, 0.028718915, 0.028495941, 0.027310388, 0.02607709, 0.024789834, 0.024744738, 0.02276161, 0.021713898, 0.015368054, 0.012257512, 0.0097820135, 0.009371465
topic 5 words: ,time, give, al, take, great, not, on, first, chance, wil, long, may, serious, know, advice
topic 5 coefs: ,0.24500665, 0.046759177, 0.045757897, 0.024569603, 0.019828748, 0.017132355, 0.016679553, 0.0147142345, 0.013601829, 0.013135619, 0.0131152915, 0.012390883, 0.012324289, 0.012143929, 0.010339939
topic 6 words: ,test, clas, homework, not, give, easy, pay_atention, hard, study, on, note, quiz, wil, al, god
topic 6 coefs: ,0.078529134, 0.060979813, 0.05180074, 0.05038017, 0.043726426, 0.038920168, 0.02696443, 0.026808333, 0.025505146, 0.023952495, 0.021867529, 0.019060269, 0.018916717, 0.015982881, 0.015431371
topic 7 words: ,help, wil, always, ned, understand, not, ask, great, anything, everything, know, something, try, french, nice
topic 7 coefs: ,0.17241311, 0.07978356, 0.06892095, 0.06290823, 0.057374824, 0.043813333, 0.029432127, 0.02464592, 0.02404348, 0.023811027, 0.023490625, 0.018347098, 0.015763588, 0.015461435, 0.014283315
topic 8 words: ,fun, clas, make, history, interesting, great, always, story, learning, funy, learn, easy, joke, favorite, laugh
topic 8 coefs: ,0.15916608, 0.12084935, 0.103210844, 0.040460303, 0.040155515, 0.035609473, 0.03392962, 0.025029061, 0.022721773, 0.021712452, 0.016547006, 0.015738765, 0.013849073, 0.013388555, 0.012882557
topic 9 words: ,awesome, rock, colest, totaly, gym, smile, health, face, funy, fav, pe, sport, dude, sub, da
