
topic 0 words: ,like, kid, reali, fel, cla, nice, talk, know, peopl, think, al, treat, col, sem, act
topic 0 coefs: ,0.24979968, 0.052497905, 0.04404192, 0.028747803, 0.02665785, 0.021923885, 0.017952997, 0.017125996, 0.016203918, 0.015568261, 0.014102916, 0.012202507, 0.011852006, 0.010933515, 0.010789298
topic 1 words: ,cla, ap, prepar, coleg, honor, wel, clase, high_schol, reali, freshman, learn, cours, physic, teach, tok
topic 1 coefs: ,0.093154825, 0.038773526, 0.026342666, 0.02214446, 0.022064738, 0.02145776, 0.021383228, 0.017890478, 0.017606588, 0.017433798, 0.01718436, 0.016710985, 0.015910886, 0.015724014, 0.015006091
topic 2 words: ,fun, cla, make, learn, reali, alway, great, love, spanish, best, funi, enjoy, favorit, easi, joke
topic 2 coefs: ,0.13607553, 0.10752793, 0.06477104, 0.04414324, 0.033333886, 0.031957906, 0.026327714, 0.026307054, 0.025545826, 0.022957234, 0.020983342, 0.017178908, 0.016404156, 0.015256039, 0.013508349
topic 3 words: ,help, alway, wile, ned, wil, ask, understand, student, great, reali, schol, time, nice, cla, extra
topic 3 coefs: ,0.2711089, 0.08397953, 0.036234945, 0.035685644, 0.029581076, 0.027376827, 0.026806196, 0.023617517, 0.023056667, 0.021550251, 0.019386692, 0.018446635, 0.017422069, 0.014041639, 0.010787135
topic 4 words: ,great, wonder, rememb, person, art, stil, clase, thank, taught, year_ago, comput, woman, mani, al, today
topic 4 coefs: ,0.054911852, 0.042438775, 0.03943056, 0.034321424, 0.032080628, 0.026724445, 0.026668014, 0.022883885, 0.018410925, 0.01458828, 0.012799365, 0.010125053, 0.009893237, 0.008281536, 0.008228778
topic 5 words: ,student, care, best, reali, al, want, person, love, suce, met, respect, truli, great, wel, amaz
topic 5 coefs: ,0.19477352, 0.08501821, 0.027600072, 0.025869573, 0.023097536, 0.02279163, 0.021133281, 0.01907184, 0.016185828, 0.015424318, 0.015030687, 0.015017594, 0.014847047, 0.012345889, 0.011352993
topic 6 words: ,reali, nice, sometim, preti, god, col, funi, cla, litl, know, great, hard, teach, over, get
topic 6 coefs: ,0.12187954, 0.07126716, 0.054005112, 0.048483625, 0.043229837, 0.042812563, 0.033360474, 0.026189959, 0.025557917, 0.022850009, 0.020498607, 0.019355433, 0.019273374, 0.017928561, 0.015565484
topic 7 words: ,teach, student, learn, life, style, cla, knowledg, experi, leson, great, difer, real, clasrom, use, method
topic 7 coefs: ,0.076147944, 0.037395515, 0.03162873, 0.03134084, 0.01731748, 0.01666371, 0.015538702, 0.01371794, 0.013422218, 0.012713566, 0.012201672, 0.011785254, 0.01176326, 0.00958479, 0.00954489
topic 8 words: ,give, homework, work, asign, project, time, lot, chanc, al, amount, done, nice, mani, finish, ned
topic 8 coefs: ,0.2081363, 0.08946302, 0.07362387, 0.052469827, 0.04000562, 0.03864981, 0.017706428, 0.015476034, 0.014080915, 0.014004752, 0.010997624, 0.010925529, 0.009663279, 0.008042794, 0.00796518
topic 9 words: ,math, understand, everyth, explain, teach, know, sure, make, wel, best, great, materi, clear, answer, easi
topic 9 coefs: ,0.099746875, 0.08969779, 0.061512437, 0.05729134, 0.04156286, 0.03858473, 0.031646274, 0.030321242, 0.029162595, 0.028305361, 0.021465618, 0.01949724, 0.016079275, 0.013010202, 0.011266577
topic 10 words: ,god, side, tel, stori, sens_humor, wil, strict, stay, job, bad_side, over, time, rule, luck, funi
topic 10 coefs: ,0.41474333, 0.040482413, 0.034374557, 0.031541184, 0.023879344, 0.023389596, 0.02108994, 0.020656679, 0.019194098, 0.015756955, 0.014394721, 0.014190416, 0.010504505, 0.0096546365, 0.009362869
topic 11 words: ,word, talk, watch, hear, away, random, movi, voic, mention, sport, face, play, throw, popular, game
topic 11 coefs: ,0.038267683, 0.028379222, 0.02832686, 0.0250552, 0.024266012, 0.01880501, 0.017983962, 0.015643714, 0.01266892, 0.012570119, 0.012234065, 0.0122025795, 0.011210693, 0.010998622, 0.010982552
topic 12 words: ,work, hard, wil, cla, learn, want, best, know, tough, expect, push, great, tri, french, actuali
topic 12 coefs: ,0.07345746, 0.063465744, 0.061520677, 0.058934923, 0.05863626, 0.025758492, 0.025555892, 0.019190783, 0.01903933, 0.01866176, 0.015248151, 0.0140762245, 0.013877323, 0.013532436, 0.012779809
topic 13 words: ,ben, year, music, great, best, al, play, schol, coach, band, child, love, son, favorit, know
topic 13 coefs: ,0.04126147, 0.03297852, 0.030768719, 0.0278198, 0.023525579, 0.018677488, 0.01814175, 0.01698553, 0.016597584, 0.016490638, 0.014497782, 0.012705341, 0.0122565, 0.011740727, 0.010959428
topic 14 words: ,cla, interest, histori, great, knowledg, subject, topic, lectur, bore, bit, teach, kep, know, enjoy, quit
topic 14 coefs: ,0.06701443, 0.053365115, 0.04992393, 0.028252952, 0.019766398, 0.018181466, 0.017358525, 0.017232832, 0.016713958, 0.0146917235, 0.014452991, 0.011694812, 0.011638309, 0.011539146, 0.010977497
topic 15 words: ,love, best, scienc, mi, funi, favorit, amaz, last, al, wil, nice, wish, hope, next, lucki
topic 15 coefs: ,0.114032105, 0.10491364, 0.059338138, 0.05097688, 0.025457403, 0.023262594, 0.022401862, 0.022010628, 0.016128365, 0.016087582, 0.0153953275, 0.014519017, 0.014334196, 0.014080357, 0.013527342
topic 16 words: ,first, got, cla, time, gave, start, end, never, everi, last, begin, period, knew, al, turn
topic 16 coefs: ,0.05798242, 0.05635286, 0.053271737, 0.03767839, 0.028102167, 0.025586395, 0.02106473, 0.018882554, 0.017845448, 0.017348971, 0.016585823, 0.016384063, 0.015218765, 0.014919301, 0.014606762
topic 17 words: ,english, write, read, bok, esay, paper, improv, literatur, gramar, discus, asign, skil, lit, wrote, read_bok
topic 17 coefs: ,0.1650879, 0.10010692, 0.08814206, 0.047775462, 0.043884415, 0.027003793, 0.02238242, 0.01627676, 0.014679132, 0.012881144, 0.01185938, 0.011082643, 0.009360016, 0.008815606, 0.008058031
topic 18 words: ,cla, love, talk, easi, wil, long, pay_atent, listen, youl, great, work, reali, super, swet, nice
topic 18 coefs: ,0.09590938, 0.04456569, 0.043238662, 0.03973871, 0.037037827, 0.03632722, 0.035385877, 0.03163001, 0.030551301, 0.02569495, 0.024006922, 0.023900894, 0.02328109, 0.02109503, 0.020621607
topic 19 words: ,awesom, rom, danc, homerom, brown, team, girl, club, fod, white, obses, red, wod, il_mi, dude
topic 19 coefs: ,0.3396313, 0.022301728, 0.013988678, 0.0125324, 0.012160964, 0.011373059, 0.010781767, 0.009534722, 0.008588981, 0.0074508637, 0.006772777, 0.005793335, 0.0053892555, 0.0053549446, 0.005240159
topic 20 words: ,grade, cla, test, god, fail, point, easi, pa, hard, wil, work, hw, particip, fairli, got
topic 20 coefs: ,0.14152053, 0.063445106, 0.034261603, 0.03136409, 0.029430812, 0.027711364, 0.02720747, 0.025074154, 0.020347014, 0.018647976, 0.018569428, 0.01776557, 0.012548527, 0.011340026, 0.009327123
topic 21 words: ,test, studi, note, cla, hard, quiz, easi, homework, al, preti, question, wel, wil, pay_atent, review
topic 21 coefs: ,0.14690273, 0.05947052, 0.045858283, 0.042806502, 0.037351638, 0.03517126, 0.03390327, 0.023860468, 0.019719236, 0.014616085, 0.0134740155, 0.013132846, 0.012489357, 0.012021297, 0.011340188
topic 22 words: ,pe, cheat, keli, nd, beauti, fit, trick, blow, sili, lil, practicali, thompson, fli, model, author
topic 22 coefs: ,0.03923641, 0.029744647, 0.02393794, 0.020805951, 0.019299185, 0.018802952, 0.018481908, 0.018402139, 0.017812654, 0.016683996, 0.016098535, 0.014060701, 0.01346378, 0.011752114, 0.01149941
topic 23 words: ,say, peopl, think, bad, mean, al, cannot, know, hate, complain, everyon, mani, rate, wrong, thing
topic 23 coefs: ,0.097191095, 0.09179423, 0.043155987, 0.040964168, 0.037819304, 0.021626266, 0.020479081, 0.016688919, 0.014271024, 0.013113402, 0.012372609, 0.011208399, 0.010389321, 0.010388375, 0.009301212
topic 24 words: ,back, schol, colest, alway, old, half, left, mise, dude, lok, smile, se, ok, stil, rememb
topic 24 coefs: ,0.07048286, 0.049735576, 0.027444389, 0.023358209, 0.02020666, 0.020078722, 0.018008616, 0.016578559, 0.015828567, 0.014620499, 0.013931982, 0.011876907, 0.011757621, 0.01034999, 0.009914011
