
topic 0 words: ,love, amazing, best, favorite, person, great, wil, not, al, always, clas, swet, funy, helpful, kind
topic 0 coefs: ,0.12634358, 0.04835807, 0.04275885, 0.037641484, 0.029654041, 0.021749906, 0.01936944, 0.019063609, 0.018400617, 0.017762966, 0.01678538, 0.016311193, 0.015381539, 0.0144586, 0.0140495235
topic 1 words: ,test, clas, not, on, hard, study, note, easy, quiz, wel, homework, god, al, ap, realy
topic 1 coefs: ,0.09632252, 0.048298474, 0.038441677, 0.03370811, 0.03258041, 0.027763681, 0.024534294, 0.02113976, 0.019511748, 0.016908934, 0.014842523, 0.014479769, 0.013337451, 0.0133277485, 0.012996565
topic 2 words: ,best, funy, col, story, like, joke, mi, al, colest, rock, lol, tels, laugh, god, say
topic 2 coefs: ,0.049415305, 0.03773581, 0.03131085, 0.03116688, 0.02857414, 0.022064043, 0.020899432, 0.01924709, 0.017169116, 0.016764773, 0.015641559, 0.015271501, 0.012511657, 0.012122932, 0.009628811
topic 3 words: ,wil, help, not, work, clas, hard, god, ned, on, learn, try, ask, want, best, always
topic 3 coefs: ,0.10480314, 0.07444691, 0.0615288, 0.046772838, 0.046583515, 0.03474043, 0.02957029, 0.028642513, 0.026139466, 0.019672802, 0.01728407, 0.016757315, 0.01595623, 0.014938509, 0.014834827
topic 4 words: ,history, clas, not, teach, student, on, life, teaching, world, knowledgeable, subject, knowledge, great, interesting, learn
topic 4 coefs: ,0.02650465, 0.025812376, 0.021853892, 0.021801483, 0.020661736, 0.01578421, 0.014491246, 0.014213494, 0.01374987, 0.011519752, 0.011093136, 0.010985559, 0.010656553, 0.009174241, 0.008464862
topic 5 words: ,fun, clas, make, spanish, interesting, great, always, learning, best, learn, favorite, funy, enjoyable, activity, like
topic 5 coefs: ,0.18558635, 0.10460476, 0.0994403, 0.03486626, 0.02765905, 0.026942141, 0.026918825, 0.026216663, 0.022849502, 0.022057272, 0.015194581, 0.013917605, 0.009906182, 0.00936419, 0.008204667
topic 6 words: ,clas, english, learned, realy, loved, great, honor, enjoyed, freshman, hard, clases, work, ap, writing, favorite
topic 6 coefs: ,0.13941629, 0.058901466, 0.052558042, 0.031233685, 0.029987508, 0.024007788, 0.0194742, 0.016803171, 0.015268782, 0.014969413, 0.014287312, 0.013916826, 0.013291853, 0.0120480135, 0.011652019
topic 7 words: ,realy, nice, not, col, god, like, funy, super, clas, prety, helpful, hard, think, sometimes, talk
topic 7 coefs: ,0.2547036, 0.1169037, 0.042259857, 0.041810244, 0.038406663, 0.036909364, 0.033181302, 0.025303425, 0.020510122, 0.019297903, 0.018751383, 0.017635887, 0.013821091, 0.012961759, 0.012335342
topic 8 words: ,taught, high_schol, best, science, year, colege, clas, not, stil, al, remember, chemistry, thank, ben, helped
topic 8 coefs: ,0.047899324, 0.036562506, 0.033825, 0.03054715, 0.02707626, 0.026563033, 0.02429795, 0.017372578, 0.017245328, 0.01640313, 0.013455169, 0.012961013, 0.012881682, 0.012503764, 0.012491393
topic 9 words: ,prety, answer, col, question, on, god, chil, hel, watch, movie, pick, german, video, wrong, board
topic 9 coefs: ,0.09881727, 0.043936033, 0.04315448, 0.04273034, 0.04024596, 0.026956365, 0.020923346, 0.018631995, 0.016669136, 0.013108475, 0.013045289, 0.011424395, 0.010919262, 0.010892005, 0.0100418795
topic 10 words: ,clas, easy, not, long, pay_atention, work, boring, talk, youl, time, al, learn, listen, actualy, along
topic 10 coefs: ,0.14951472, 0.13950494, 0.07597486, 0.031194774, 0.028250383, 0.024414303, 0.024132226, 0.022457657, 0.0208881, 0.016707404, 0.0138723515, 0.013497349, 0.013195084, 0.0107184425, 0.009662276
topic 11 words: ,sometimes, god, litle, great, overal, strict, bit, time, nice, funy, sense_humor, although, prety, on, teaching
topic 11 coefs: ,0.07833773, 0.07571008, 0.059237104, 0.047163792, 0.038409695, 0.03183949, 0.030862818, 0.02611913, 0.023781199, 0.01852509, 0.016176762, 0.016169086, 0.0144301, 0.01259893, 0.012439486
topic 12 words: ,awesome, word, read, bok, smith, straight, group, boks, club, line, boy, advisor, debate, reading, state
topic 12 coefs: ,0.35250187, 0.040480975, 0.03434604, 0.034095936, 0.017336287, 0.015165332, 0.013420452, 0.012201348, 0.009042345, 0.008591464, 0.0076375464, 0.0064084884, 0.0058783456, 0.0058236485, 0.0058215414
topic 13 words: ,schol, great, coach, kid, child, son, hope, ben, gym, parent, health, left, helped, run, daughter
topic 13 coefs: ,0.043139495, 0.02736811, 0.023727046, 0.022570277, 0.021988206, 0.01830136, 0.0149899125, 0.014218502, 0.01315393, 0.011682817, 0.010817847, 0.010005208, 0.009555744, 0.008976426, 0.008906357
topic 14 words: ,not, like, people, think, bad, god, say, kid, student, al, mean, clas, great, actualy, hate
topic 14 coefs: ,0.14719011, 0.064073116, 0.051345743, 0.036806133, 0.025944492, 0.025409082, 0.02281012, 0.018121123, 0.01769506, 0.015583514, 0.014996924, 0.014283732, 0.010740124, 0.009816254, 0.008283987
topic 15 words: ,miler, force, yo, king, cut, wonder, among, master, per, 2nd, considerate, ease, north, reminds, jackson
topic 15 coefs: ,0.029254349, 0.027004957, 0.017589614, 0.017030824, 0.016195422, 0.015841328, 0.015604058, 0.015053527, 0.015023111, 0.014864359, 0.014778923, 0.012268516, 0.010932908, 0.010736626, 0.010724585
