
topic 0 words: ,best, life, thank, wil, year, taught, al, stil, high_schol, ben, amaz, rememb, know, never, say
topic 0 coefs: ,0.027259473, 0.027099103, 0.025757123, 0.02088785, 0.020538794, 0.01863875, 0.017631477, 0.015662534, 0.015493361, 0.013723157, 0.012312422, 0.011720087, 0.011656229, 0.01127468, 0.010790113
topic 1 words: ,great, hard, reali, learn, wil, strict, work, student, youl, although, god, know, time, litl, teach
topic 1 coefs: ,0.042954776, 0.034203842, 0.033016454, 0.024387399, 0.022462538, 0.019661998, 0.018177163, 0.01713067, 0.016911566, 0.016857876, 0.015999472, 0.015350211, 0.015332095, 0.013807699, 0.013441163
topic 2 words: ,reali, nice, god, super, like, know, funi, help, col, talk, fun, great, easi, preti, stuf
topic 2 coefs: ,0.14179567, 0.06338667, 0.037067555, 0.03548081, 0.033227768, 0.030464765, 0.03021887, 0.028995218, 0.026425287, 0.025862167, 0.019995736, 0.01929266, 0.017278142, 0.017135166, 0.01569528
topic 3 words: ,student, help, care, best, alway, person, love, wil, al, amaz, want, great, reali, know, ned
topic 3 coefs: ,0.07987757, 0.059077587, 0.042791545, 0.03715057, 0.035058092, 0.0269508, 0.022769796, 0.020089954, 0.01854101, 0.017487038, 0.015537746, 0.015468152, 0.014888629, 0.012764931, 0.012676226
topic 4 words: ,test, homework, easi, give, studi, note, quiz, al, pay_atent, hard, wil, great, asign, god, long
topic 4 coefs: ,0.078887776, 0.046436094, 0.036913246, 0.033030555, 0.031050812, 0.029108733, 0.020255128, 0.017817423, 0.017459286, 0.014294143, 0.013613068, 0.011719324, 0.0110609075, 0.010855112, 0.010782892
topic 5 words: ,histori, interest, knowledg, teach, world, best, clase, subject, student, pasion, learn, extrem, cours, lectur, engag
topic 5 coefs: ,0.059547007, 0.02918863, 0.02855277, 0.019796016, 0.019231744, 0.019189376, 0.0167122, 0.01640844, 0.014826968, 0.01472322, 0.013871725, 0.013000367, 0.012417202, 0.012377548, 0.010498263
topic 6 words: ,student, child, schol, son, educ, al, kid, excel, work, parent, help, daughter, great, care, wel
topic 6 coefs: ,0.07616069, 0.020852873, 0.015480853, 0.014377171, 0.0132924905, 0.012987544, 0.012808957, 0.012301314, 0.011296847, 0.010857302, 0.01036941, 0.010090688, 0.010058885, 0.009828417, 0.008481968
topic 7 words: ,peopl, like, say, think, bad, know, kid, god, al, mean, student, never, talk, tri, respect
topic 7 coefs: ,0.049060788, 0.04531682, 0.027810194, 0.02193444, 0.021070654, 0.019557426, 0.018677592, 0.017816355, 0.016903875, 0.014325691, 0.012790894, 0.011180583, 0.010444677, 0.009878825, 0.009563336
topic 8 words: ,scienc, art, physic, profesor, clase, coleg, comput, cours, knowledg, busin, univers, learn, carer, tok, project
topic 8 coefs: ,0.107935086, 0.051510725, 0.031264186, 0.025965545, 0.020843694, 0.019802706, 0.015327358, 0.012956853, 0.011646233, 0.010116845, 0.009420914, 0.009356342, 0.008977905, 0.008778466, 0.008723639
topic 9 words: ,music, play, band, french, choir, best, orchestra, sing, amaz, german, al, talent, madam, song, beter
topic 9 coefs: ,0.07689767, 0.045523673, 0.038330488, 0.035290368, 0.018548435, 0.017202947, 0.013671009, 0.013646053, 0.013008933, 0.011404497, 0.01105642, 0.010684083, 0.010070162, 0.00998169, 0.009378656
topic 10 words: ,coach, like, al, great, god, team, gym, best, health, play, time, run, game, around, sport
topic 10 coefs: ,0.029543042, 0.019671649, 0.018519169, 0.015406575, 0.012555458, 0.011720612, 0.010120772, 0.010076167, 0.009998778, 0.007861648, 0.007770659, 0.0076019964, 0.007532018, 0.0070929383, 0.0069127623
topic 11 words: ,watch, video, movi, club, film, fod, show, jone, chines, spirit, pictur, photographi, japanes, anim, car
topic 11 coefs: ,0.04793727, 0.03860242, 0.028866272, 0.024852945, 0.018054377, 0.017604364, 0.017571943, 0.016278319, 0.013252967, 0.013111036, 0.011798825, 0.011432203, 0.01141495, 0.0106898565, 0.009971576
topic 12 words: ,schol, time, first, even, got, start, stay, wek, period, came, last, lunch, went, come, day
topic 12 coefs: ,0.061369203, 0.038402475, 0.036313716, 0.01872613, 0.014352431, 0.013875234, 0.013217852, 0.013052797, 0.012880484, 0.012444347, 0.012288924, 0.012007883, 0.011999199, 0.009797749, 0.009502483
topic 13 words: ,understand, help, explain, materi, alway, sure, student, best, make, teach, everyth, time, wel, wil, easi
topic 13 coefs: ,0.08286216, 0.06903583, 0.038708746, 0.029796906, 0.029786978, 0.0264802, 0.02535592, 0.02519676, 0.02514288, 0.024092399, 0.021167418, 0.01828978, 0.017630886, 0.017578196, 0.016170995
topic 14 words: ,math, best, help, algebra, geometri, got, never, hate, pase, star, thank, grade, fail, strugl, taught
topic 14 coefs: ,0.22314042, 0.037848037, 0.025951961, 0.024161607, 0.016672542, 0.016060825, 0.014981137, 0.014665563, 0.01328119, 0.012728847, 0.011276166, 0.010788995, 0.010494547, 0.010371781, 0.009414061
topic 15 words: ,awesom, danc, miler, baker, favourit, guidanc_counselor, rock, totali, plain, doyl, hilari, forens, roger, asl, freshman_sophomor
topic 15 coefs: ,0.55427927, 0.031888526, 0.023556855, 0.011158913, 0.0102859475, 0.009165589, 0.007822335, 0.0066652936, 0.006560524, 0.006478897, 0.006404688, 0.006236077, 0.0059753023, 0.005805887, 0.005225141
topic 16 words: ,love, best, mi, alway, favorit, amaz, al, wil, fun, wish, funi, next, stil, last, nice
