
topic 0 words: ,teach, scienc, know, wel, best, actuali, great, learn, subject, style, pasion, unlik, like, method, amaz
topic 0 coefs: ,0.3332234, 0.06201303, 0.059031066, 0.04148314, 0.039740477, 0.039166417, 0.03773289, 0.027479574, 0.025374813, 0.023013877, 0.017805392, 0.013582174, 0.013531954, 0.013421438, 0.010873741
topic 1 words: ,life, thank, best, wil, inspir, coleg, learn, taught, real, educ, world, leson, beter, high_schol, think
topic 1 coefs: ,0.074878216, 0.03489333, 0.029754324, 0.028415408, 0.021719774, 0.020974593, 0.018462572, 0.017001431, 0.01504897, 0.012423023, 0.012123195, 0.012037507, 0.01193002, 0.01144669, 0.011206947
topic 2 words: ,understand, math, help, best, sure, make, easi, materi, physic, cla, clear, explain, concept, great, algebra
topic 2 coefs: ,0.1797999, 0.1380482, 0.056568228, 0.051105533, 0.03620226, 0.028622264, 0.026395364, 0.025785485, 0.020938858, 0.018819185, 0.016100436, 0.015352177, 0.013517979, 0.013289324, 0.013200047
topic 3 words: ,fun, cla, learn, al, great, project, time, best, bore, like, easi, favorit, social_studi, stil, lot
topic 3 coefs: ,0.17786182, 0.115168616, 0.046141446, 0.031414844, 0.0306839, 0.029900504, 0.028653983, 0.025906349, 0.025221586, 0.021214763, 0.018504463, 0.0180255, 0.014059145, 0.01390558, 0.013328816
topic 4 words: ,wonder, child, son, schol, woman, truli, daughter, kind, parent, dedic, heart, comun, amaz, ben, thank
topic 4 coefs: ,0.07375329, 0.042921234, 0.030016614, 0.022041768, 0.021587644, 0.020783678, 0.020236984, 0.019721024, 0.018045021, 0.015819188, 0.015752291, 0.013336779, 0.013131879, 0.01301401, 0.012717876
topic 5 words: ,histori, cla, ap, prepar, best, youl, wel, learn, clase, worth, test, know, great, tough, lectur
topic 5 coefs: ,0.08971131, 0.085529186, 0.05492239, 0.047711592, 0.027653445, 0.026859295, 0.025448885, 0.024436342, 0.01998191, 0.016647412, 0.016278377, 0.0148473205, 0.013948331, 0.013799748, 0.0136773065
topic 6 words: ,talk, schol, like, anyth, help, best, know, friend, wil, problem, listen, stay, even, fel, someon
topic 6 coefs: ,0.10594599, 0.06153693, 0.05391085, 0.053564757, 0.053236466, 0.040722527, 0.03978704, 0.038887046, 0.03311708, 0.027165286, 0.022610094, 0.022223184, 0.018807892, 0.018548662, 0.015925344
topic 7 words: ,cla, make, fun, learn, interest, enjoy, best, alway, favorit, easi, great, actuali, chemistri, everi, everyday
topic 7 coefs: ,0.13733703, 0.1319284, 0.07416351, 0.058680005, 0.05478543, 0.05064284, 0.026014324, 0.024594486, 0.017294822, 0.016802747, 0.016151592, 0.01538905, 0.015077881, 0.014568954, 0.0142042935
topic 8 words: ,kid, respect, like, treat, great, deserv, al, student, princip, schol, deal, regent, everyon, adult, job
