
topic 0 words: ,easy, clas, not, homework, give, work, prety, long, fun, pay_atention, nice, test, al, time, talk
topic 0 coefs: ,0.10129631, 0.09805539, 0.06642732, 0.035454564, 0.033210915, 0.023222499, 0.023101673, 0.018957557, 0.018158535, 0.017518045, 0.016384706, 0.013862444, 0.013835749, 0.013007808, 0.0127911065
topic 1 words: ,great, person, know, funy, amazing, story, al, not, best, smart, helpful, around, wonderful, hilarious, sense_humor
topic 1 coefs: ,0.13961802, 0.07050746, 0.04414143, 0.037943877, 0.031483654, 0.027973818, 0.025070827, 0.024384024, 0.024212865, 0.020226454, 0.019465733, 0.018920377, 0.018207842, 0.017900672, 0.017367428
topic 2 words: ,student, care, realy, want, like, best, not, everyone, al, know, fel, actualy, make, great, understands
topic 2 coefs: ,0.14842243, 0.07098537, 0.05196461, 0.046876214, 0.04409454, 0.038054526, 0.034515396, 0.03259798, 0.027376717, 0.023504538, 0.021766247, 0.016448757, 0.015742997, 0.015727866, 0.013763273
topic 3 words: ,clas, learned, loved, not, great, thought, actualy, enjoyed, never, fun, physic, time, first, al, like
topic 3 coefs: ,0.16066502, 0.08516135, 0.062007517, 0.031210171, 0.026221573, 0.022123285, 0.019156428, 0.017842114, 0.017573632, 0.015671553, 0.015417699, 0.014540876, 0.014241509, 0.014119974, 0.013981465
topic 4 words: ,math, understand, best, not, make, teach, sure, material, wel, easy, everything, clear, explain, explains, god
topic 4 coefs: ,0.13257782, 0.09599529, 0.046162546, 0.03665717, 0.031001007, 0.028755557, 0.02830051, 0.028207244, 0.027800806, 0.025537144, 0.020936929, 0.020420222, 0.017601773, 0.017551618, 0.013394403
topic 5 words: ,thanks, coach, done, great, become, team, best, mentor, friend, goten, beter, inspiration, god, role_model, writer
topic 5 coefs: ,0.08860222, 0.07212209, 0.06987552, 0.04000227, 0.03446534, 0.024118481, 0.02089571, 0.020033551, 0.017036973, 0.016934194, 0.01659388, 0.014866108, 0.013502341, 0.013204281, 0.013002586
topic 6 words: ,help, ned, always, student, ask, understanding, schol, anything, time, best, give, helpful, neded, problem, wiling
topic 6 coefs: ,0.23824784, 0.072709575, 0.061355177, 0.040939808, 0.036562234, 0.025546659, 0.024724074, 0.024408417, 0.023440186, 0.02299325, 0.02058798, 0.018840266, 0.017259283, 0.016433595, 0.014491722
topic 7 words: ,realy, nice, col, funy, god, super, like, know, fun, stuf, clas, helpful, prety, think, wel
topic 7 coefs: ,0.2745041, 0.10881944, 0.07030082, 0.05126127, 0.039702423, 0.029938182, 0.0278307, 0.026372034, 0.024338815, 0.02407388, 0.021630274, 0.01915774, 0.013237152, 0.012179117, 0.012146099
topic 8 words: ,art, lok, home, il, away, forget, please, chose, upset, turned, choice, brother, teling, sister, john
topic 8 coefs: ,0.097320564, 0.049680676, 0.03577442, 0.033741876, 0.02934562, 0.02227483, 0.019695101, 0.018028721, 0.015236436, 0.015086716, 0.014078584, 0.01367709, 0.012458087, 0.012172984, 0.012125068
topic 9 words: ,wil, work, clas, hard, not, learn, best, youl, try, want, god, great, grade, know, give
topic 9 coefs: ,0.12842734, 0.088981815, 0.0672113, 0.06415027, 0.061198898, 0.031511776, 0.022946049, 0.020483846, 0.018631518, 0.018070891, 0.017868225, 0.016057946, 0.01513225, 0.0132046295, 0.0110071115
topic 10 words: ,taught, helped, life, thank, son, not, on, daughter, many, al, schol, colege, time, ben, everything
topic 10 coefs: ,0.089524895, 0.072380945, 0.061968643, 0.04145727, 0.022609154, 0.019563576, 0.018041203, 0.015491906, 0.014500231, 0.0139171, 0.012272474, 0.012141145, 0.011102769, 0.010565517, 0.010353255
topic 11 words: ,clas, clases, ap, colege, course, honor, chemistry, wel, tok, prepared, taking, freshman, senior, biology, high_schol
topic 11 coefs: ,0.09278267, 0.053615127, 0.050866388, 0.03953527, 0.035955068, 0.029987795, 0.024142541, 0.024011748, 0.02378802, 0.023655472, 0.020761367, 0.020359574, 0.019974299, 0.019747555, 0.017503446
topic 12 words: ,student, child, al, excelent, teaching, schol, kid, dedicated, parent, wonderful, work, on, wel, every, great
topic 12 coefs: ,0.11716449, 0.021963984, 0.01779194, 0.015348647, 0.01435046, 0.012049255, 0.011597177, 0.011034028, 0.010487119, 0.010294337, 0.009884151, 0.009711389, 0.009199691, 0.0085403565, 0.00796137
topic 13 words: ,fun, clas, make, interesting, learning, best, always, learn, great, teach, enjoyable, clases, favorite, subject, topic
topic 13 coefs: ,0.11270268, 0.09995765, 0.084250145, 0.047183916, 0.04458811, 0.022725012, 0.020596191, 0.020472167, 0.01767353, 0.015382536, 0.014515003, 0.01201414, 0.011275495, 0.010331969, 0.009982829
topic 14 words: ,greatest, music, band, play, choir, orchestra, amazing, director, playing, tech, drama, musician, chorus, talented, beter
topic 14 coefs: ,0.102111764, 0.093502596, 0.05767924, 0.04321832, 0.025062533, 0.019113304, 0.016279241, 0.014678859, 0.014135525, 0.013115781, 0.012999758, 0.012001486, 0.011304117, 0.011014459, 0.0109338695
topic 15 words: ,highschol, language_art, law, il_mi, prof, freaking, country, speaks, fan, fair_grader, loking_forward, block, photography, solid, intelectual
topic 15 coefs: ,0.03566804, 0.021018768, 0.018086212, 0.017085582, 0.016929863, 0.016434427, 0.016153006, 0.015417345, 0.014693644, 0.014287058, 0.014286888, 0.014097866, 0.012168674, 0.012023114, 0.01179862
topic 16 words: ,health, run, pe, sport, west, runing, creative_writing, skil, highly_recomended, living, idiot, swetheart, nickname, hav, blue
topic 16 coefs: ,0.054277144, 0.050236214, 0.032179885, 0.032019123, 0.025218729, 0.015665894, 0.015497104, 0.015041833, 0.0116723785, 0.011253785, 0.011051439, 0.01081115, 0.010309427, 0.009652532, 0.008806322
topic 17 words: ,opinion, briliant, voice, style, idea, knowledge, humor, genius, ad, department, debate, psychology, event, alowed, strong
topic 17 coefs: ,0.037921477, 0.022987647, 0.019267507, 0.015476486, 0.015371532, 0.01405976, 0.013963382, 0.0137619795, 0.013523691, 0.013061746, 0.01284798, 0.01251081, 0.011320469, 0.010894961, 0.010807418
topic 18 words: ,loking, program, head, deal, isues, situation, line, money, several, ten, ofice, sick, legend, cals, past_year
topic 18 coefs: ,0.031190965, 0.030133288, 0.029634539, 0.028390132, 0.022661982, 0.018917073, 0.01422362, 0.01326332, 0.012869834, 0.0119606955, 0.0101760505, 0.009658569, 0.009281773, 0.008929369, 0.0087265875
topic 19 words: ,not, like, say, think, people, bad, know, mean, god, al, kid, even, best, hate, great
topic 19 coefs: ,0.16675724, 0.047972046, 0.040657684, 0.039847337, 0.03725274, 0.031370126, 0.030111017, 0.020745773, 0.020153783, 0.018914, 0.017920554, 0.01129675, 0.010582863, 0.010052536, 0.010037063
topic 20 words: ,always, wil, never, best, hapy, nice, kind, helpful, caring, talk, everyone, lady, swet, mater, counselor
topic 20 coefs: ,0.20032413, 0.05702543, 0.05616964, 0.034590665, 0.030246729, 0.028090868, 0.025223263, 0.024730165, 0.020647956, 0.017220208, 0.014233143, 0.014161225, 0.0137067605, 0.010041936, 0.0090749655
topic 21 words: ,le, la, yo, senora, ela, de, por, ha, murphy, los, pro, tj, practical, decide, el
topic 21 coefs: ,0.10471569, 0.031139204, 0.02955969, 0.029131869, 0.022078114, 0.018545864, 0.016514726, 0.016316693, 0.01570785, 0.012750606, 0.012375735, 0.011144536, 0.010770026, 0.010098841, 0.009395627
topic 22 words: ,history, world, best, retired, government, view, white, date, interested, hapened, politics, lecture, fact, curent_event, apush
topic 22 coefs: ,0.29210296, 0.14784391, 0.028808657, 0.018246738, 0.014924544, 0.013409635, 0.012027929, 0.011117321, 0.009814208, 0.00910575, 0.008806459, 0.008723452, 0.008479452, 0.0083187735, 0.008266542
topic 23 words: ,watch, girl, deserves, movie, video, gona, dance, boy, gota, award, popular, win, cut, hil, east
topic 23 coefs: ,0.035900168, 0.034286994, 0.03226184, 0.031207012, 0.030333545, 0.027971838, 0.02628338, 0.024155114, 0.021690069, 0.018102182, 0.016967932, 0.014118287, 0.012641669, 0.012400315, 0.011794957
topic 24 words: ,german, club, throw, brain, frau, adorable, baker, atend, adam, qualified, joking, wen, scare, third, profesion
topic 24 coefs: ,0.04048074, 0.034090605, 0.022984987, 0.020701913, 0.018600477, 0.017884431, 0.01532641, 0.0147220045, 0.014492491, 0.011858356, 0.011847994, 0.011461648, 0.010977633, 0.010867138, 0.010286721
topic 25 words: ,best, mi, science, next, wish, colest, rock, like, fun, hope, wil, al, omg, 7th_grade, 8th_grade
topic 25 coefs: ,0.14036523, 0.101529695, 0.057063855, 0.039230797, 0.036374066, 0.033818364, 0.031557795, 0.025918648, 0.025353111, 0.024321053, 0.024203025, 0.019771824, 0.018080065, 0.014813406, 0.014138499
topic 26 words: ,on, god, sometimes, litle, time, like, strict, side, day, not, bit, come, al, may, kid
topic 26 coefs: ,0.13135651, 0.070512205, 0.032463703, 0.03228257, 0.03191929, 0.022807416, 0.01938236, 0.018058676, 0.016074305, 0.015822401, 0.011513846, 0.009719863, 0.009263086, 0.008999541, 0.00827422
topic 27 words: ,best, far, wil, not, amazing, truly, favorite, teach, student, subject, clas, honestly, pasionate, life, schol
