
topic 0 words: ,thank, not, year, taught, life, high_schol, al, ben, stil, student, best, on, great, many, time
topic 0 coefs: ,0.025924092, 0.024872515, 0.023474762, 0.023303702, 0.020457426, 0.01738783, 0.017366663, 0.017251682, 0.017186753, 0.016408809, 0.013487365, 0.012655181, 0.0112823285, 0.011025113, 0.010947477
topic 1 words: ,test, homework, not, on, give, easy, study, note, quiz, hard, al, grade, god, pay_atention, realy
topic 1 coefs: ,0.07225069, 0.042830188, 0.041543372, 0.034408867, 0.032436132, 0.031017147, 0.021442274, 0.020293895, 0.017039724, 0.016733367, 0.016364565, 0.014082054, 0.013692046, 0.012304092, 0.011283054
topic 2 words: ,great, student, teaching, subject, teach, interesting, fun, learning, not, experience, pasionate, pasion, always, history, topic
topic 2 coefs: ,0.03725675, 0.03311271, 0.028211774, 0.019781899, 0.019098701, 0.015351637, 0.014954226, 0.014080608, 0.012883575, 0.01141669, 0.009822069, 0.009384268, 0.009001525, 0.008702994, 0.008678646
topic 3 words: ,best, far, favorite, schol, not, al, high_schol, extremely, helpful, probably, every, clases, funy, knowledgeable, year
topic 3 coefs: ,0.12716329, 0.05390105, 0.035480343, 0.0246302, 0.021755807, 0.0215397, 0.021032613, 0.020516032, 0.019835321, 0.015898662, 0.013704987, 0.013177232, 0.01184963, 0.011792547, 0.011763484
topic 4 words: ,understand, student, help, sure, make, material, always, time, not, best, great, teach, easy, wel, understands
topic 4 coefs: ,0.05881548, 0.05750135, 0.03974797, 0.03270455, 0.030180018, 0.027253164, 0.025665605, 0.023014056, 0.020245712, 0.01984478, 0.01573771, 0.014493498, 0.013239026, 0.012736201, 0.012522841
topic 5 words: ,math, best, algebra, wel, understand, teach, not, geometry, concept, problem, calculus, taught, teaching, subject, explained
topic 5 coefs: ,0.23885913, 0.03313999, 0.024053864, 0.022421593, 0.017303621, 0.016881227, 0.015819723, 0.015614629, 0.014260833, 0.013794081, 0.012183128, 0.010848745, 0.01018673, 0.009418353, 0.0085823
topic 6 words: ,got, not, realy, helped, first, never, schol, always, like, even, knew, best, gave, time, last
topic 6 coefs: ,0.037735265, 0.03452264, 0.028729454, 0.025932156, 0.023398034, 0.021285921, 0.01944735, 0.01761918, 0.017127346, 0.016952591, 0.014679335, 0.014296897, 0.014018529, 0.013488662, 0.012845367
topic 7 words: ,student, love, care, person, best, amazing, al, not, want, realy, know, met, like, great, everyone
