Topic Number,Coherence,Descriptions,% of Reviews 
1,0.41808,"class, teacher, teach, learn, worst, all, anything, know, good, really, bore, like, nothing, nice ",27.80%
2,0.44762,"student, teacher, school, teach, care, chile, help, need, person, parent, favorite, kid, like, seem",16.70%
3,0.51747,"grade, class, time, work, give, assign, never, all , even, got, gave, talk, homework, always",16%
4,0.41701,"like, mean, really, think, all, favorite, hate, people, always, good, kid, teacher, talk, yell ",14.70%
5,0.46115,"help, teach, understand, explain, know, student, teacher, ask, confuse, really, ask_question, hard, well, never ",12.90%
6,0.55979,"test, class, give, teach, homework, all, note, quiz, read, learn, assign, ap, book, hard",11.90%
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
