,topic_C1_100,topic_C2_100,topic_C3_55,topic_C4_50,topic_C5_25DISQ,topic_C6_50,topic_C7_100,topic_C8_60,topic_C9_76,topic_C10_50,topic_C11_50,topic_C12_44,topic_C13_40,topic_C14_40,topic_C15_45,topic_C16_60,topic_C17_20DISQ,topic_C18_50,topic_C19_20DISQ,topic_C20_50
subjects,0.0,0.0,0.0,0.0,0.125,0.02,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.045454545454545456,0.0
drama,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232
gym,0.0,0.0,0.0,0.0,0.0,0.0,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0
band,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232
language barrier,0.01020408163265306,0.020202020202020204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.22727272727272727,0.0
math,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bad relationship,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.03278688524590164,0.0,0.0,0.0196078431372549,0.045454545454545456,0.0,0.023809523809523808,0.021739130434782608,0.22950819672131148,0.05,0.038461538461538464,0.09090909090909091,0.019230769230769232
parent rel,0.01020408163265306,0.020202020202020204,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.13725490196078433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
past / gpa / unprepared,0.0,0.010101010101010102,0.0,0.03508771929824561,0.0,0.0,0.0,0.06557377049180328,0.012987012987012988,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.04918032786885246,0.0,0.0,0.0,0.0
personality,0.0,0.0,0.0,0.017543859649122806,0.041666666666666664,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.045454545454545456,0.0
biased,0.0,0.0,0.0,0.0,0.08333333333333333,0.06,0.010101010101010102,0.01639344262295082,0.03896103896103896,0.09803921568627451,0.0196078431372549,0.5454545454545454,0.024390243902439025,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.019230769230769232
picks on kids,0.01020408163265306,0.010101010101010102,0.05555555555555555,0.0,0.0,0.02,0.010101010101010102,0.01639344262295082,0.025974025974025976,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.1346153846153846,0.0,0.019230769230769232
picks favorites,0.030612244897959183,0.050505050505050504,0.05555555555555555,0.017543859649122806,0.0,0.74,0.0,0.0,0.012987012987012988,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.057692307692307696,0.0,0.019230769230769232
does not care / lazy,0.01020408163265306,0.0,0.037037037037037035,0.03508771929824561,0.0,0.0,0.030303030303030304,0.0,0.05194805194805195,0.1568627450980392,0.0,0.022727272727272728,0.0,0.0,0.021739130434782608,0.04918032786885246,0.15,0.11538461538461539,0.0,0.0
gets angry,0.0,0.0,0.018518518518518517,0.0,0.0,0.04,0.010101010101010102,0.01639344262295082,0.0,0.0784313725490196,0.0,0.0,0.024390243902439025,0.07142857142857142,0.021739130434782608,0.03278688524590164,0.0,0.07692307692307693,0.0,0.09615384615384616
at questions,0.0,0.020202020202020204,0.14814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.019230769230769232
mean / no respect,0.01020408163265306,0.050505050505050504,0.09259259259259259,0.07017543859649122,0.0,0.12,0.030303030303030304,0.03278688524590164,0.05194805194805195,0.4117647058823529,0.0392156862745098,0.0,0.024390243902439025,0.0,0.043478260869565216,0.06557377049180328,0.05,0.09615384615384616,0.0,0.28846153846153844
scary,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.057692307692307696
yells,0.0,0.030303030303030304,0.018518518518518517,0.10526315789473684,0.0,0.0,0.010101010101010102,0.0,0.0,0.058823529411764705,0.0392156862745098,0.0,0.0,0.0,0.021739130434782608,0.01639344262295082,0.0,0.07692307692307693,0.0,0.11538461538461539
unprofesional,0.0,0.0,0.0,0.15789473684210525,0.08333333333333333,0.02,0.010101010101010102,0.0,0.03896103896103896,0.13725490196078433,0.0784313725490196,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.019230769230769232
annoying / frustrating / abrasive,0.061224489795918366,0.04040404040404041,0.037037037037037035,0.14035087719298245,0.0,0.06,0.010101010101010102,0.01639344262295082,0.07792207792207792,0.0784313725490196,0.09803921568627451,0.045454545454545456,0.12195121951219512,0.047619047619047616,0.15217391304347827,0.03278688524590164,0.05,0.23076923076923078,0.09090909090909091,0.11538461538461539
cool / nice,0.02040816326530612,0.020202020202020204,0.0,0.0,0.0,0.02,0.0707070707070707,0.06557377049180328,0.12987012987012986,0.0,0.0392156862745098,0.0,0.7073170731707317,0.0,0.17391304347826086,0.03278688524590164,0.0,0.057692307692307696,0.045454545454545456,0.019230769230769232
