Topics,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,18,20,,Note - Table has been edited to include updates to the coding. Will more closely refect main_summary_raw.csv
Personality / Rapport,0.15,0.25,0.43,0.58,0.9,0.19,0.26,0.41,0.94,0.29,0.68,0.8,0.17,0.46,0.48,0.77,0.79,,
bad relationship,,,,,0.06,,0.03,,,0.02,0.05,,0.02,0.02,0.23,0.04,0.02,,
parent relationship,0.01,0.02,,,,,,,0.14,,,,,,,,,,
biased,,,,,0.06,0.01,0.02,,0.1,0.02,0.55,0.02,,,,0.04,0.02,,
picks on kids,0.01,0.01,0.06,,0.02,0.01,0.02,0.04,0.02,,,,,,0.02,0.13,0.02,,
picks favorites,0.03,0.05,0.06,,0.74,,,,0.02,,,,,,0.02,0.06,0.02,,
does not care / lazy,0.01,,0.04,0.04,,0.03,,0.04,0.16,,0.02,,,0.02,0.05,0.12,,,
gets angry,,,0.02,,0.04,0.01,0.02,,0.08,,,0.02,0.07,0.02,0.03,0.08,0.1,,
hates questions,,0.02,0.15,,,,,,0.02,,,,,,,0.02,0.02,,
mean / no respect,0.01,0.05,0.09,0.08,0.12,0.03,0.03,0.07,0.41,0.04,,0.02,,0.04,0.07,0.1,0.29,,
scary,,,,,,,,,,,,,,,,0.04,0.06,,
yells,,0.03,0.02,0.1,,0.01,,,0.06,0.04,,,,0.02,0.02,0.08,0.12,,
unprofesional,,,,0.14,0.02,0.01,,0.02,0.14,0.08,0.02,,,,,0.02,0.02,,
abrasive /frustrating ,0.06,0.04,0.04,0.14,0.06,0.01,0.02,0.09,0.08,0.1,0.05,0.12,0.05,0.15,0.03,0.23,0.12,,
cool / nice,0.02,0.02,,,0.02,0.07,0.07,0.15,,0.04,,0.71,,0.17,0.03,0.06,0.02,,
treat like kids / fools,,0.01,,,,,,,,,,,,,,0.13,,,
strict,0.03,0.03,0.02,0.08,0.02,0.01,0.02,0.04,0.04,0.02,0.07,,0.02,0.02,0.02,,0.23,,
Duties,0.26,0.37,0.04,0.16,0.06,0.19,0.13,0.3,0.04,0.59,0.02,0.1,0.07,0.15,0.11,0.29,0.02,,
lack expertise,0.1,0.01,0.02,0.02,0.06,0.07,0.02,0.14,0.02,0.08,0.02,0.05,,,0.08,,,,
makes mistakes,0.1,0.02,,0.02,,,,0.04,,0.02,,,0.02,,,,,,
distracted,,0.02,,0.02,,,0.02,0.07,,0.08,,,,0.07,,0.02,,,
does other things,,0.02,,0.04,,0.04,0.02,0.01,,0.43,,,,0.02,0.02,0.02,,,
chaos in classroom,0.01,0.01,,,,0.04,0.03,0.09,,0.06,,,0.02,0.07,0.02,0.21,0.02,,
disorganized,0.01,0.14,,0.08,,0.06,0.03,0.13,,,,0.05,,0.02,,0.02,,,
slow / no grades,0.02,0.25,,,,0.02,,,0.02,0.02,,,,,,0.02,,,
no follow-through,0.01,0.04,0.02,,,,0.02,,,,,,0.02,,,,,,
Bad / Not Teaching,0.68,0.38,0.69,0.18,0.08,0.48,0.72,0.62,0.18,0.55,0.16,0.2,0.83,0.7,0.36,0.19,0.15,,
,,,,,,,,,,,,,,,,,,,
no learning / unprepared,0.09,0.01,,0.04,,0.1,0.48,0.02,,0.06,,0.02,0.02,0.22,0.1,0.02,,,
boring,0.04,0.04,,0.04,0.02,0.02,0.05,0.05,0.02,0.1,0.07,0.02,0.02,0.48,0.07,0.04,,,
busy work,0.1,0.16,,,,0.09,0.03,0.03,,0.02,,,,,0.02,,,,
waste / pointless,0.01,0.02,,,,0.04,0.13,0.03,,0.02,0.02,,,,,,,,
cannot explain / unclear,0.04,0.09,0.11,0.02,0.02,0.06,0.02,0.22,0.04,0.02,0.02,0.02,0.6,0.04,0.02,0.04,0.08,,
confusing,0.03,0.04,0.11,0.02,,0.01,0.02,0.07,,,,,0.07,0.02,0.02,,0.02,,
rushed,0.01,,0.02,,,0.01,0.02,0.02,,0.02,,,0.1,,,,,,
unhelpful,0.08,0.06,0.11,,0.04,0.06,0.08,0.07,0.14,,,0.05,0.19,0.07,0.07,0.02,0.02,,
ignores kids / questions,0.04,,0.52,0.02,0.02,0.02,,0.07,,,,0.05,,0.02,,0.02,,,
discouraging,0.01,0.01,,,,0.01,0.07,0.08,,0.06,0.05,,0.02,,0.05,0.06,,,
off-topic,0.02,0.01,,0.02,,0.05,0.03,0.04,0.02,0.41,,0.05,0.02,,0.02,,,,
by the book / ppt,0.47,0.03,,,,0.08,0.03,0.13,,,0.02,,0.02,0.02,0.03,,0.04,,
Workload,0.26,0.77,0.09,0.1,0.06,0.61,0.28,0.13,0.08,0.1,0.09,0.02,0.05,0.37,0.03,0.08,0.08,,
unrealistic expectations,0.01,0.07,0.02,,,0.1,,,0.02,,,,0.02,,,0.02,,,
too much work,0.05,0.29,0.02,,,0.03,0.03,0.02,0.02,0.02,0.02,0.02,,0.02,,0.04,0.02,,
hard / unfair (grader),0.07,0.28,,0.1,0.06,0.03,0.1,0.07,0.04,,0.05,,,0.07,0.02,0.02,0.06,,
bad feedback,0.02,0.06,,,,0.01,,,0.02,,,,,,,,,,
unclear direction,0.01,0.24,0.02,,,0.08,,0.04,0.02,,,,0.02,,,,,,
study guides,,,,,,,,,,,,,,,,,,,
misaligned,0.06,0.08,0.04,,,0.44,0.1,,,0.04,,,,,0.02,,,,
easy a,0.04,0.04,,,,0.02,0.08,0.02,,0.04,0.02,,,0.3,,,,,
,,,,,,,,,,,,,,,,,,,
