,Text
49,All she does is sit at her desk and make us take notes from the overhead. Can she possibly GET UP AND TEACH?!
99,She is a horrible teacher. She makes it her job to make your life worse and not teach you anything. I don't know what made her want to become a teacher.
149,"Having Mrs. Byrne as a teacher is like not having a teacher at all. She is the worst teacher I have ever had in my life. I don't think it is even possible to call her a ""teacher"" because she doesn't t"
199,"Worst teacher ever...No one deserves to go through that hell...take my advice, drop it while you can!"
249,"ms weinberg doesn't know anything about teaching. she is without a doubt the worst teacher i have ever had. she doesn't even deserve to teach kindergarten, they'd probably hate her as much as our class does. no one respects h"
299,This woman is looney tunes. I pray she doesn't return to Webster for another year. She is unquestionably the worst teacher I have ever encountered.
349,probabbly the worst math teacher i ever had.... trust me when i say youll fail any standerized math exam with her teaching you (own experience)
399,"I learned more from the book than I ever did him. He had a personal vandetta against me and even though I had him two years ago, I still despise him. He's a terrible excuse for a teacher and a human being."
449,"Possibly the worst teacher I've ever had. Doesn't teach anything, but that's not surprising because she doesn't seem to know much of anything either."
499,Honestly one of the worst teachers I've ever had. She doesn't know anything and won't admit when she's wrong
548,MRS ESPOSITO IS THE MOST AWFUL TEACHER IN THE WORLD SHE NEVER HELPS YOU WITH ANY WORK AND DOES NOT KNOW HOW TO TEACH!!!!!
598,She has no business teaching. She literally ruined my child's entire school year. This teacher does not know the meaning of communication. The only truly lousy teacher I've known.
648,By far the worst teacher I've dealt with in my Life. I regret ever having her class. She ruined calculus for me.
698,i've never had a worse experience in my whole entire life. she doesnt have a scoring system or do grades correctly. easily the worst teacher that i've ever had
748,I really don't have anything positive to say about this woman. Didn't learn a thing in geometry with her. Extremely lazy and qualified to teach. By far the WORST teacher at LC and it's not even close.
798,"Worst teacher I've ever had, hands down. I absolutely hated her. Didn't learn anything. If you get her try to transfer out as soon as you can!"
848,this teacher is by far the worst teacher i have ever had..........why does anyone actually like her??
898,steven appleman is a horrible teacher absolutely has no control over a class school probablly picked up from off the street like they do with these english teachers
948,worst teacher alive on this planet she makes up words in all languages and has no clue what shes doing
998,"with all the respect he deserves, hes the worst teacher i have ever had in the 6 years living in the u.s.. is my honest opinion"
1048,He is the boringest teacher on the planet!!!!!!!!!!!!!!!!!!!!!!!!He is a good science teacher though.
1097,words cant describe how terrible this teacher is. easily the least knowledgeable teacher ive ever had. do NOT reccomend this teacher
