,Text
53,I honestly think Mrs.Burchfield doesn't know what she's doing. We don't even pay attention to her anymore. I understand it's her first year but she should dicipline us once in a while. She just doesn'
107,"I don't think he really knows what he's talking about. He understands the language, but he really can't teach it. He dosn't relate to his students very well, either."
161,i think he needs to learn how to deal with teens a little better...he needs to understand where we r coming from
215,I cant stand her! She should learn her own language(german) before she teaches it. Then learn english so she can teach.
269,"Thinks hes cool, thinks he can teach, thinks he knows at least something about video production-he is wrong about everything!"
323,"Shes so horrible! She tries to be cool with the students and when you need help, she doesnt know what she's takling about."
376,"Learn to speak clearly. learn to teach, and learn the english language. you misunderstand EVERYTHING and havent helped us at all!"
430,"Harshest grader ever... Cannot relate to the students.. You can learn alright spanish but just wow... He has more subs than actually teaching, says ""WHY HAVEN'T YOU LEARNED THIS YET?"" (Not knowing we haven't even learned it yet..)"
484,"when he does his little ""motivation speeches"" he real needs to not use so much southern slang, cuz i don't know half the things hes saying."
538,He made me hate spanish...he dont know how to teach...but he is very smart and knows alot on almost everything exept teaching...
592,don't know how anyone could say she knows her stuff since she is not even competent in the material in Spanish I.
646,"well, she teaches us how to write english letters in class and she cant speak english. i understand her mandarin better than her english."
699,Ms. Giloni knows her stuff but she can't teach it to students. She would have been much better off as a scientist then a teacher.
753,"Mr. Bux u dont know how to teach, u think ur funny but aren't and u forget what u really have to do. TEACH!"
807,He has to lean how to be a better listener and learn how to relate to his students more so that they listen to him more.
861,She doesn`t help us out with anything and she teaches things WAY too fast. I serious have to teach MYSELF Spanish!!!
915,Mr. Brookman... If you read this there are sooo many things that I would not say because I learned if you cant say anything nice dont say it at all. So I cannot say a thing. Dont teach math.
969,you really need to learn how to teach music. Everytime you teach it you teach it different. your class is a living heck!!!!!!!!!!!!!!!
1022,k he can be nice but he doesnt teach anyone anything he expects to learn everything by structuring sentences
1076,"She doesn't help us. I just wnat to learn Spanish but she thinks I already know it. Can't wait til' next year. Hopefully, I will know more then."
1130,"she can't spell for anything, says um WAY too many times and should learn the stuff she teaches before she tries to teach it"
1184,"Doesn't actually teach, but just sits behind her desk and expects us to make art. No guidence at all."
1238,"she is a really nice person,but i really dont think she shoul b teaching high schoolers, shes more on te elementary level"
1292,"She would be a better teacher is she actually pronounced the words right! andshe makes mistakes all the time she does ""franglais""= french and english"
1346,NOT A GOOD TEACHER AT ALL! JUST GIVES OUT WORKSHEETS AND DOESN'T EVEN TEACH! STOP PUTTING DOWN STUDENTS FOR NOT KNOWING WHAT U R TEACHING BECAUSE IT ISN'T OUR FAULT U CAN'T TEACH!!
1399,"SMC is a nice person, but not if you want help with anything or need something done by a deadline. Also, she sometimes speaks slowly, as if we can't understand."
1453,i think she needs to mind her own business especially if itz not even her class. mind your own business ms. garcia
1507,uhmm mrs.stahl u need to stop worrying about the people that mis behave and start worrying about the people who actually care about learning okkkk...
1561,"She can't teach, she can't speak, what can I say, I guess you can be grateful that she doesn't give hw."
1615,she doesnt realize we cant speak spanish. and she is snotty sometimes. needs to be cooler. we dont learn anything.
1669,I think she is very unreasonable. I don't not think she understands that this is only Highschool and I have 6 other classes that I have homework for. She needs to understand that my life does not revolve around her. She needs to either go back to AP English or calm down because this is ridiculous.
1722,some love the way she teaches other dont its as simple as that i dont think a learned very much if anything in her german class but i know people that do
1776,"The man is oblivious to anything that goes on. He doesn't have any sense of knowledge for ANYTHING, and assumes everyone else does. The man really needs to retire, and seriously needs a toothbrush...."
1830,Mr. Bousel was a really bad teacher and I don't know why he is still teaching at glenfield he doesn't know how to teach.
1884,i can not understand any of the things he teaches. He is very bizare. he needs to stop being so boring.
1938,nobody respects mrs. shelton at all! but if everyone says she cant teach then why do i know how to do it all? She needs to learn how to control the class though
1992,"wow i used to LIKE history. he knows the subject well, but it hurts us because we don't meet the expectations, and he doesn't teach everything we need to know"
2045,He does not know how to teach. He only knows how to send students out 90% of the class period instead of teaching and doing his job. :P
2099,"She thinks she's a genius, but in reality I don't learn a thing and still get 100%. she's definitly not the brightest crayon in the box."
2153,"spn 1 is easy with her, however she isn't qualified to teach spn 2. i don't think she understands the stuff in it...how are we supposed to if she can't teach it"
2207,"Wow, she doesn't even teach us anything! She gives us the homework and doesnt even explain it i havent learned anything from her!"
2261,"schepan does not know anything about spanish. he's some guy who cares only about girls soccer and track, and doesnt know how to teach anything."
2315,"Mrs. Deblois tries I guess, but now that she's teaching Spanish, not so good. She should of just kept to French."
2368,"i don't understand her in english, and i thgouth were supposed 2 b learning spanish were just hearin it caus eshe doesn't tell us wut it means but she can b nice"
2422,"She should not be teaching at all. She is biased and does not know that she is talking about. She teaches Spanish only bc she speaks it, she doesnt know anythin"
2476,You might be a helper but you still need to learn peoples' names!! Also you need to be a lot nicer if you want students to like you!!!!
2530,Omg you should really learn how to teach. Try not putting the students down and start helping them. All you do is give out homework and start asking questions.
2584,"She tries to teach something that she can't do. She teaches mistakes and fogets what she's doing and the worst part is, she isn't even old yet."
2638,She doesn't really teach and is very lazy . I don't know why some students think she is funny because we are not here to laugh we are here
2692,"Go away. I know that all of the 3rd period class of 2004 doesn't learn from you, let alone UNDERSTAND you. Retire, for the benifet of all students and our grade"
