,Text
18,"poor principal. Lack of true leadership.Overall administrative body has very poor execution of power and does poor with managing the school.


Submitted by a student"
19,"Dalton treats students in a crude, rude & dismissive manner. She does not show genuine respect for the individual and regularly puts down students in front of the class."
20,"This administrator lacks interpersonal skills, especially when communicating with parents. She speaks rudely to students. Her policies are extreme. That atmosphere of our warm, welcoming Catholic school has completely changed"
98,Ridiculously strict and authoritarian. Has no respect for students. Adamant about punishing students for the most ridiculous things. Abuses his power.
99,Not very helpful.. will simply brush you aside with an excuse as if you aren't important. Favors females students way too much over male students.
100,"Does not take responsibility for her school. Does not present herself as a leader or a representative, yet demands respect which, due to her actions, is not given to her."
198,"Unreasonable, uncompromising, doesn't communicate well with students,expectations are too high for a ninth grade level,"
199,at least he was willing to be a ceremonial leader even if he didn't want to be involved in student activities while I was there
200,"Ms. Jansen is rude and does not respect students. She blames students for her own mistakes. Overall do not recommend.


Submitted by a student"
298,"I will never let you belittle or degrade again. Very unprofessional human being


Submitted by a Parent"
299,"She should have cooperated.... This man doesn't have the students best interests in mind clearly.


Submitted by a Parent"
300,"this is the most uncooperative principal that ive ever delt with, overly authoritarian, no respect for students"
398,"She is very rigid, often goes too fast, has little empathy, and no trust of students or parents.Does not inspire or motivate the kids. 


Submitted by a Parent"
399,"He expects too much from the students and is often ignorant, but he only wants students to succeed so that's why he is so strict."
400,"completely ignores all of his messages in his mailbox. Very frustrating to deal with as a parent. from what my daughter has told me, he has a short temper and has no care for his students


Submitted by a Parent"
498,"She was very difficult to understand and not open to discussion regarding issues that were concerning to her students. Was demeaning to students after they expressed their difficulty in her class. Not receptive to listening to parents' concerns. Very punitive to students.


Submitted by a Parent"
499,"Was not impressed by him. He was judgemental and oblivious. He also has a temper and doesn't treat everyone equally.


Submitted by a student"
500,"Does not help any student and does not care about anyone other than her self


Submitted by a student"
598,Everything she does is in her own self interest. She could care less about her students and is very rule oriented. Even the students' parents dislike her.
599,"A queen in her own mind. A weak principal who allows bullying to destroy young children's lives on a daily basis.


Submitted by a Parent"
600,She takes her job too far and makes Pius a school that no one wants to attend. She has petty actions that are unneeded
698,"Not a very helpful person. Does not reach out to others to help, only tear down. He is out for his own agenda and is very selfish."
699,"When he was an assistant principal, he was on a power trip and constantly interrupted and argued with me with. He displayed a complete lack of compassion with his unreasonable actions. Never conducted any thorough investigation. Good thing he's not in a leadership position because he does not do well at forming a consensus.


Submitted by a Parent"
700,"The way he handled himself was totally unprofessional. Teachers should not text students, bottom line. It is not appropriate."
798,As a parent I found Mr. Bleau disrespectful of the rights of parents and children. He told me he believes it is his moral obligation to ensure each kid at his school is leading a moral life. He seems
799,"Mr. B. needs to work on communicating and helping students, a crucial part of being a teacher.


Submitted by a student"
800,"She hasn't tried to meet many of the students, and hasn't made a good impression on the kids thus far"
898,Ms. McColl refuses to allow any conversations or actions in school that challenge her extremely conservative Christian morals. Frequently makes severe mistakes.
899,"Ilona Rugg has destroyed my child's self-esteem, confidence, and respect for the teaching profession.


Submitted by a Parent"
900,She traumatized my daughter...embarassed her and humiliated her. My child LOVED english but this woman didn't inspire her AT all. I would NEVER allow her to EVER teach any of my kids again.
998,"Mrs. Gawron, where do I begin? She seems very nice at first glance, yet, as the year progresses, one will realize how much of a façade this is. Mrs. Gawron had a tendency to bring inappropriate matters in to the classroom, for example, one day she brought in her sister in order to discuss financial matters that made the entire class uncomfortable due to the fact that this was unexpected and unanticipated. This served no purpose to our education and frankly, was borderline offensive.


Submitted by a student"
999,"Unfortunately, she was less than fair in a cheating hearing of a student. No due process. Just sided with a teacher's suspicion despite complete lack of evidence. Not a very fair administrator."
1000,Ms. Brown is not willing to go the extra mile to help students that are struggling. She is not a good teacher for the average student or a student that requires special needs.
1098,"She is irresponsible and refuses to communicate with parents. She expects a lot from her students and willNot comply with parental requests. Terrible terrible teacher.


Submitted by a Parent"
1099,"Jim, is a poor leader in how he motivates and demonstrates support for students. Gibbons would be better off without him.


Submitted by a Parent"
1100,"I have no idea why this woman is an educator-- not only do her instructions totally lack clarity, but she is an extremely unpleasant individual. Her attitude and unprofessionalism made it so I didn't feel safe asking questions or seeking her advice."
1198,"Very unapproachable, unwilling to respond to even the mildest of criticism, holds grudges against students"
